NAME: 	AlexandraP_2day_lhand
Completed cycles:	33
Failed cycles:	1
1	1	1011
1	2	483
1	3	377
1	4	314
1	5	331
1	6	398
1	7	303
1	8	259
1	9	345
1	10	292
1	11	306
1	12	336
1	13	307
1	14	286
1	15	271
1	16	255
1	17	357
1	18	278
1	19	369
1	20	257
1	21	328
1	22	372
1	23	431
1	24	346
1	25	342
1	26	264
1	27	432
1	28	275
1	29	251
1	30	260
2	1	350
2	2	402
2	3	354
2	4	343
2	5	335
2	6	284
2	7	320
2	8	498
2	9	285
2	10	410
2	11	298
2	12	381
2	13	436
2	14	306
2	15	310
2	16	642
2	17	305
2	18	337
2	19	429
2	20	264
2	21	401
2	22	300
2	23	404
2	24	343
2	25	342
2	26	298
2	27	344
2	28	481
2	29	313
2	30	371
3	1	541
3	2	365
3	3	358
3	4	350
3	5	335
3	6	324
3	7	313
3	8	271
3	9	296
3	10	367
3	11	333
3	12	418
3	13	361
3	14	308
3	15	311
3	16	312
3	17	306
3	18	337
3	19	305
3	20	287
3	21	287
3	22	213
3	23	260
3	24	272
3	25	272
3	26	337
3	27	376
3	28	375
3	29	294
3	30	531
4	1	422
4	2	287
4	3	350
4	4	344
4	5	283
4	6	224
4	7	329
4	8	320
4	9	271
4	10	251
4	11	339
4	12	364
4	13	362
4	14	247
4	15	312
4	16	319
4	17	276
4	18	276
4	19	380
4	20	355
4	21	398
4	22	288
4	23	327
4	24	289
4	25	409
4	26	338
4	27	707
4	28	396
4	29	406
4	30	425
5	1	891
5	2	374
5	3	272
5	4	282
5	5	291
5	6	279
5	7	362
5	8	292
5	9	308
5	10	448
5	11	309
5	12	312
5	13	277
5	14	315
5	15	305
5	16	247
5	17	246
5	18	279
5	19	251
5	20	333
5	21	310
5	22	424
5	23	312
5	24	338
5	25	283
5	26	352
5	27	381
5	28	320
5	29	612
5	30	280
6	1	297
6	2	347
6	3	282
6	4	473
6	5	320
6	6	328
6	7	259
6	8	340
6	9	324
6	10	284
6	11	243
6	12	244
6	13	299
6	14	257
6	15	432
6	16	324
6	17	535
6	18	487
6	19	420
6	20	488
6	21	410
6	22	292
6	23	324
6	24	293
6	25	288
6	26	409
6	27	450
6	28	338
6	29	563
6	30	482
7	1	420
7	2	405
7	3	623
7	4	323
7	5	305
7	6	359
7	7	343
7	8	361
7	9	309
7	10	443
7	11	383
7	12	320
7	13	300
7	14	501
7	15	278
7	16	360
7	17	284
7	18	417
7	19	295
7	20	343
7	21	590
7	22	901
7	23	625
7	24	356
7	25	367
7	26	331
7	27	401
7	28	366
7	29	430
7	30	354
8	1	339
8	2	261
8	3	387
8	4	508
8	5	375
8	6	348
8	7	373
8	8	390
8	9	328
8	10	326
8	11	373
8	12	375
8	13	350
8	14	355
8	15	574
8	16	326
8	17	351
8	18	374
8	19	363
8	20	394
8	21	372
8	22	457
8	23	361
8	24	315
8	25	407
8	26	344
8	27	332
8	28	381
8	29	303
8	30	386
9	1	368
9	2	442
9	3	650
9	4	327
9	5	318
9	6	426
9	7	331
9	8	364
9	9	320
9	10	372
9	11	280
9	12	296
9	13	390
9	14	342
9	15	308
9	16	256
9	17	592
9	18	330
9	19	327
9	20	288
9	21	364
9	22	321
9	23	325
9	24	261
9	25	334
9	26	385
9	27	478
9	28	384
9	29	283
9	30	411
10	1	395
10	2	418
10	3	405
10	4	308
10	5	316
10	6	359
10	7	480
10	8	332
10	9	331
10	10	325
10	11	351
10	12	349
10	13	307
10	14	271
10	15	288
10	16	330
10	17	303
10	18	328
10	19	422
10	20	326
10	21	323
10	22	327
10	23	365
10	24	394
10	25	302
10	26	316
10	27	338
10	28	292
10	29	470
10	30	403
11	1	363
11	2	374
11	3	322
11	4	373
11	5	407
11	6	313
11	7	466
11	8	506
11	9	629
11	10	539
11	11	483
11	12	403
11	13	309
11	14	285
11	15	325
11	16	402
11	17	368
11	18	380
11	19	367
11	20	316
11	21	389
11	22	392
11	23	317
11	24	432
11	25	338
11	26	403
11	27	288
11	28	430
11	29	367
11	30	356
12	1	435
12	2	338
12	3	371
12	4	339
12	5	449
12	6	339
12	7	316
12	8	297
12	9	325
12	10	336
12	11	443
12	12	296
12	13	384
12	14	524
12	15	323
12	16	259
12	17	286
12	18	297
12	19	367
12	20	641
12	21	290
12	22	288
12	23	333
12	24	327
12	25	299
12	26	346
12	27	300
12	28	410
12	29	348
12	30	364
13	1	269
13	2	561
13	3	376
13	4	331
13	5	574
13	6	327
13	7	287
13	8	260
13	9	341
13	10	380
13	11	399
13	12	434
13	13	291
13	14	326
13	15	403
13	16	364
13	17	408
13	18	358
13	19	356
13	20	361
13	21	347
13	22	630
13	23	403
13	24	353
13	25	331
13	26	331
13	27	394
13	28	402
13	29	429
13	30	406
14	1	361
14	2	414
14	3	336
14	4	343
14	5	305
14	6	280
14	7	298
14	8	344
14	9	484
14	10	307
14	11	286
14	12	250
14	13	281
14	14	305
14	15	368
14	16	330
14	17	307
14	18	339
14	19	343
14	20	338
14	21	340
14	22	298
14	23	311
14	24	345
14	25	367
14	26	268
14	27	338
14	28	354
14	29	288
14	30	404
15	1	601
15	2	264
15	3	345
15	4	284
15	5	297
15	6	324
15	7	374
15	8	287
15	9	319
15	10	302
15	11	366
15	12	338
15	13	288
15	14	315
15	15	389
15	16	377
15	17	303
15	18	398
15	19	367
15	20	263
15	21	444
15	22	277
15	23	366
15	24	328
15	25	333
15	26	386
15	27	303
15	28	254
15	29	287
15	30	471
16	1	422
16	2	416
16	3	283
16	4	418
16	5	365
16	6	305
16	7	312
16	8	358
16	9	326
16	10	387
16	11	301
16	12	303
16	13	376
16	14	291
16	15	417
16	16	321
16	17	414
16	18	415
16	19	547
16	20	398
16	21	316
16	22	0
16	23	102
16	24	320
16	25	306
16	26	454
16	27	314
16	28	304
16	29	317
16	30	345
17	1	299
17	2	278
17	3	303
17	4	415
17	5	291
17	6	333
17	7	361
17	8	453
17	9	350
17	10	309
17	11	262
17	12	380
17	13	322
17	14	312
17	15	322
17	16	338
17	17	257
17	18	357
17	19	341
17	20	273
17	21	305
17	22	325
17	23	299
17	24	302
17	25	267
17	26	289
17	27	378
17	28	316
17	29	419
17	30	300
18	1	308
18	2	306
18	3	302
18	4	317
18	5	290
18	6	294
18	7	322
18	8	270
18	9	310
18	10	298
18	11	399
18	12	308
18	13	326
18	14	435
18	15	285
18	16	291
18	17	292
18	18	375
18	19	339
18	20	490
18	21	339
18	22	373
18	23	350
18	24	287
18	25	281
18	26	304
18	27	419
18	28	292
18	29	311
18	30	714
19	1	354
19	2	411
19	3	302
19	4	488
19	5	280
19	6	534
19	7	306
19	8	401
19	9	311
19	10	482
19	11	338
19	12	356
19	13	306
19	14	316
19	15	398
19	16	309
19	17	298
19	18	326
19	19	343
19	20	329
19	21	404
19	22	289
19	23	384
19	24	367
19	25	308
19	26	343
19	27	465
19	28	369
19	29	350
19	30	299
20	1	385
20	2	362
20	3	357
20	4	262
20	5	430
20	6	387
20	7	355
20	8	362
20	9	330
20	10	336
20	11	342
20	12	375
20	13	346
20	14	391
20	15	340
20	16	545
20	17	294
20	18	386
20	19	331
20	20	330
20	21	457
20	22	310
20	23	343
20	24	338
20	25	538
20	26	463
20	27	418
20	28	361
20	29	315
20	30	268
21	1	277
21	2	327
21	3	358
21	4	366
21	5	268
21	6	309
21	7	382
21	8	321
21	9	303
21	10	307
21	11	469
21	12	328
21	13	294
21	14	359
21	15	325
21	16	344
21	17	381
21	18	419
21	19	293
21	20	500
21	21	394
21	22	380
21	23	271
21	24	273
21	25	250
21	26	271
21	27	326
21	28	339
21	29	324
21	30	420
22	1	374
22	2	302
22	3	230
22	4	331
22	5	230
22	6	275
22	7	256
22	8	276
22	9	246
22	10	262
22	11	388
22	12	501
22	13	306
22	14	377
22	15	363
22	16	417
22	17	329
22	18	276
22	19	553
22	20	403
22	21	453
22	22	324
22	23	390
22	24	302
22	25	368
22	26	472
22	27	310
22	28	330
22	29	274
22	30	266
23	1	470
23	2	347
23	3	325
23	4	250
23	5	238
23	6	468
23	7	331
23	8	293
23	9	395
23	10	350
23	11	301
23	12	290
23	13	330
23	14	311
23	15	306
23	16	415
23	17	390
23	18	337
23	19	322
23	20	561
23	21	327
23	22	351
23	23	754
23	24	364
23	25	396
23	26	341
23	27	411
23	28	342
23	29	409
23	30	527
24	1	406
24	2	405
24	3	326
24	4	384
24	5	337
24	6	389
24	7	319
24	8	554
24	9	354
24	10	303
24	11	338
24	12	297
24	13	379
24	14	286
24	15	364
24	16	380
24	17	331
24	18	398
24	19	355
24	20	304
24	21	303
24	22	293
24	23	298
24	24	285
24	25	467
24	26	367
24	27	363
24	28	330
24	29	309
24	30	308
25	1	395
25	2	313
25	3	336
25	4	389
25	5	352
25	6	267
25	7	341
25	8	450
25	9	336
25	10	466
25	11	494
25	12	389
25	13	339
25	14	396
25	15	397
25	16	476
25	17	335
25	18	673
25	19	254
25	20	318
25	21	305
25	22	446
25	23	301
25	24	318
25	25	350
25	26	373
25	27	274
25	28	330
25	29	491
25	30	504
26	1	1372
26	2	333
26	3	313
26	4	347
26	5	284
26	6	338
26	7	310
26	8	307
26	9	343
26	10	377
26	11	315
26	12	273
26	13	506
26	14	354
26	15	284
26	16	296
26	17	302
26	18	660
26	19	361
26	20	305
26	21	274
26	22	402
26	23	292
26	24	390
26	25	436
26	26	370
26	27	400
26	28	423
26	29	308
26	30	329
27	1	599
27	2	362
27	3	304
27	4	271
27	5	551
27	6	296
27	7	313
27	8	351
27	9	382
27	10	343
27	11	353
27	12	311
27	13	371
27	14	334
27	15	486
27	16	1095
27	17	1086
27	18	286
27	19	376
27	20	328
27	21	339
27	22	352
27	23	372
27	24	376
27	25	399
27	26	495
27	27	491
27	28	444
27	29	255
27	30	281
28	1	269
28	2	311
28	3	351
28	4	472
28	5	350
28	6	368
28	7	395
28	8	338
28	9	312
28	10	322
28	11	341
28	12	340
28	13	378
28	14	376
28	15	402
28	16	271
28	17	391
28	18	406
28	19	343
28	20	371
28	21	310
28	22	304
28	23	315
28	24	399
28	25	327
28	26	354
28	27	393
28	28	459
28	29	351
28	30	320
29	1	472
29	2	492
29	3	347
29	4	359
29	5	359
29	6	364
29	7	394
29	8	322
29	9	331
29	10	293
29	11	459
29	12	427
29	13	384
29	14	326
29	15	268
29	16	524
29	17	351
29	18	317
29	19	359
29	20	350
29	21	323
29	22	397
29	23	302
29	24	331
29	25	291
29	26	330
29	27	324
29	28	576
29	29	506
29	30	325
30	1	288
30	2	346
30	3	385
30	4	330
30	5	379
30	6	523
30	7	346
30	8	367
30	9	389
30	10	349
30	11	289
30	12	352
30	13	728
30	14	332
30	15	317
30	16	310
30	17	381
30	18	366
30	19	355
30	20	334
30	21	342
30	22	383
30	23	408
30	24	356
30	25	307
30	26	535
30	27	393
30	28	334
30	29	352
30	30	340
31	1	659
31	2	327
31	3	584
31	4	298
31	5	384
31	6	469
31	7	371
31	8	423
31	9	371
31	10	324
31	11	372
31	12	380
31	13	612
31	14	320
31	15	336
31	16	340
31	17	388
31	18	374
31	19	371
31	20	309
31	21	356
31	22	468
31	23	303
31	24	366
31	25	330
31	26	436
31	27	397
31	28	654
31	29	331
31	30	393
32	1	322
32	2	444
32	3	689
32	4	331
32	5	338
32	6	361
32	7	329
32	8	372
32	9	280
32	10	318
32	11	347
32	12	298
32	13	430
32	14	292
32	15	354
32	16	281
32	17	357
32	18	372
32	19	446
32	20	483
32	21	262
32	22	551
32	23	360
32	24	324
32	25	345
32	26	275
32	27	332
32	28	326
32	29	402
32	30	338
33	1	349
33	2	310
33	3	330
33	4	289
33	5	416
33	6	321
33	7	346
33	8	582
33	9	324
33	10	340
33	11	354
33	12	569
33	13	300
33	14	308
33	15	289
33	16	374
33	17	364
33	18	297
33	19	359
33	20	284
33	21	295
33	22	286
33	23	307
33	24	321
33	25	311
33	26	302
33	27	319
33	28	384
33	29	299
33	30	324
34	1	324
34	2	303
34	3	226
34	4	450
34	5	392
