NAME: 	Alexandra_1day_lhand
Completed cycles:	31
Failed cycles:	1
1	1	518
1	2	686
1	3	357
1	4	272
1	5	297
1	6	337
1	7	369
1	8	280
1	9	348
1	10	351
1	11	412
1	12	312
1	13	381
1	14	268
1	15	401
1	16	280
1	17	480
1	18	323
1	19	430
1	20	295
1	21	305
1	22	315
1	23	339
1	24	300
1	25	299
1	26	294
1	27	503
1	28	385
1	29	455
1	30	287
2	1	432
2	2	324
2	3	421
2	4	271
2	5	293
2	6	334
2	7	460
2	8	301
2	9	274
2	10	353
2	11	329
2	12	546
2	13	327
2	14	275
2	15	327
2	16	289
2	17	381
2	18	398
2	19	424
2	20	451
2	21	398
2	22	338
2	23	305
2	24	582
2	25	329
2	26	508
2	27	306
2	28	506
2	29	327
2	30	384
3	1	524
3	2	354
3	3	571
3	4	292
3	5	356
3	6	462
3	7	311
3	8	368
3	9	372
3	10	418
3	11	436
3	12	727
3	13	458
3	14	434
3	15	464
3	16	480
3	17	289
3	18	363
3	19	311
3	20	355
3	21	390
3	22	333
3	23	380
3	24	328
3	25	377
3	26	435
3	27	308
3	28	295
3	29	364
3	30	456
4	1	415
4	2	380
4	3	256
4	4	320
4	5	415
4	6	448
4	7	330
4	8	308
4	9	361
4	10	397
4	11	298
4	12	379
4	13	452
4	14	396
4	15	399
4	16	428
4	17	348
4	18	382
4	19	370
4	20	319
4	21	335
4	22	446
4	23	360
4	24	430
4	25	310
4	26	438
4	27	394
4	28	323
4	29	333
4	30	298
5	1	360
5	2	351
5	3	501
5	4	311
5	5	459
5	6	19
5	7	352
5	8	369
5	9	305
5	10	513
5	11	341
5	12	409
5	13	377
5	14	438
5	15	447
5	16	362
5	17	334
5	18	360
5	19	514
5	20	279
5	21	354
5	22	508
5	23	391
5	24	631
5	25	524
5	26	438
5	27	335
5	28	266
5	29	323
5	30	621
6	1	492
6	2	348
6	3	471
6	4	359
6	5	284
6	6	300
6	7	266
6	8	368
6	9	327
6	10	328
6	11	316
6	12	438
6	13	323
6	14	345
6	15	460
6	16	294
6	17	406
6	18	499
6	19	457
6	20	374
6	21	389
6	22	267
6	23	529
6	24	506
6	25	435
6	26	339
6	27	607
6	28	347
6	29	434
6	30	318
7	1	365
7	2	312
7	3	416
7	4	437
7	5	441
7	6	332
7	7	337
7	8	305
7	9	385
7	10	265
7	11	314
7	12	315
7	13	402
7	14	309
7	15	344
7	16	285
7	17	438
7	18	449
7	19	314
7	20	457
7	21	331
7	22	294
7	23	277
7	24	409
7	25	634
7	26	338
7	27	299
7	28	368
7	29	309
7	30	415
8	1	334
8	2	455
8	3	507
8	4	410
8	5	342
8	6	360
8	7	415
8	8	427
8	9	406
8	10	280
8	11	388
8	12	309
8	13	292
8	14	306
8	15	276
8	16	266
8	17	542
8	18	269
8	19	430
8	20	440
8	21	387
8	22	288
8	23	247
8	24	426
8	25	339
8	26	262
8	27	405
8	28	380
8	29	374
8	30	516
9	1	488
9	2	342
9	3	394
9	4	377
9	5	311
9	6	285
9	7	367
9	8	585
9	9	374
9	10	329
9	11	358
9	12	452
9	13	407
9	14	227
9	15	331
9	16	346
9	17	281
9	18	408
9	19	426
9	20	479
9	21	306
9	22	534
9	23	298
9	24	316
9	25	352
9	26	588
9	27	322
9	28	499
9	29	390
9	30	315
10	1	333
10	2	435
10	3	365
10	4	401
10	5	312
10	6	375
