NAME: 	Alexandra_1day_rhand
Completed cycles:	33
Failed cycles:	1
1	1	923
1	2	452
1	3	342
1	4	444
1	5	363
1	6	288
1	7	490
1	8	334
1	9	349
1	10	339
1	11	327
1	12	461
1	13	429
1	14	397
1	15	477
1	16	318
1	17	430
1	18	283
1	19	313
1	20	346
1	21	313
1	22	267
1	23	430
1	24	422
1	25	404
1	26	457
1	27	376
1	28	323
1	29	369
1	30	380
2	1	342
2	2	526
2	3	594
2	4	408
2	5	333
2	6	310
2	7	315
2	8	374
2	9	374
2	10	286
2	11	408
2	12	407
2	13	427
2	14	308
2	15	324
2	16	260
2	17	404
2	18	324
2	19	361
2	20	328
2	21	550
2	22	420
2	23	323
2	24	385
2	25	280
2	26	330
2	27	356
2	28	368
2	29	326
2	30	415
3	1	245
3	2	377
3	3	340
3	4	377
3	5	303
3	6	354
3	7	420
3	8	393
3	9	366
3	10	412
3	11	354
3	12	344
3	13	494
3	14	461
3	15	359
3	16	423
3	17	337
3	18	368
3	19	305
3	20	312
3	21	321
3	22	398
3	23	332
3	24	441
3	25	334
3	26	382
3	27	513
3	28	362
3	29	404
3	30	414
4	1	297
4	2	496
4	3	349
4	4	368
4	5	386
4	6	382
4	7	360
4	8	370
4	9	291
4	10	363
4	11	407
4	12	277
4	13	372
4	14	405
4	15	347
4	16	397
4	17	295
4	18	380
4	19	339
4	20	405
4	21	258
4	22	305
4	23	392
4	24	376
4	25	254
4	26	289
4	27	309
4	28	351
4	29	334
4	30	286
5	1	235
5	2	359
5	3	389
5	4	298
5	5	348
5	6	419
5	7	395
5	8	367
5	9	353
5	10	275
5	11	403
5	12	308
5	13	254
5	14	372
5	15	330
5	16	436
5	17	304
5	18	304
5	19	291
5	20	311
5	21	324
5	22	279
5	23	284
5	24	373
5	25	399
5	26	377
5	27	289
5	28	291
5	29	380
5	30	461
6	1	461
6	2	334
6	3	277
6	4	369
6	5	354
6	6	292
6	7	334
6	8	311
6	9	365
6	10	385
6	11	338
6	12	418
6	13	304
6	14	311
6	15	361
6	16	368
6	17	289
6	18	273
6	19	250
6	20	270
6	21	289
6	22	296
6	23	242
6	24	199
6	25	488
6	26	269
6	27	422
6	28	257
6	29	359
6	30	373
7	1	323
7	2	583
7	3	408
7	4	245
7	5	376
7	6	254
7	7	289
7	8	361
7	9	229
7	10	379
7	11	378
7	12	215
7	13	281
7	14	298
7	15	229
7	16	242
7	17	497
7	18	390
7	19	192
7	20	423
7	21	303
7	22	339
7	23	278
7	24	533
7	25	373
7	26	361
7	27	370
7	28	295
7	29	438
7	30	351
8	1	287
8	2	348
8	3	318
8	4	261
8	5	406
8	6	259
8	7	386
8	8	422
8	9	359
8	10	365
8	11	286
8	12	284
8	13	399
8	14	315
8	15	409
8	16	270
8	17	395
8	18	466
8	19	424
8	20	384
8	21	473
8	22	335
8	23	287
8	24	332
8	25	391
8	26	633
8	27	417
8	28	385
8	29	282
8	30	324
9	1	282
9	2	372
9	3	326
9	4	434
9	5	226
9	6	387
9	7	333
9	8	415
9	9	350
9	10	255
9	11	434
9	12	509
9	13	321
9	14	383
9	15	287
9	16	349
9	17	347
9	18	410
9	19	277
9	20	436
9	21	459
9	22	325
9	23	448
9	24	418
9	25	255
9	26	365
9	27	411
9	28	383
9	29	417
9	30	305
10	1	301
10	2	346
10	3	308
10	4	360
10	5	338
10	6	348
10	7	312
10	8	433
10	9	356
10	10	366
10	11	347
10	12	375
10	13	386
10	14	366
10	15	425
10	16	407
10	17	410
10	18	333
10	19	471
10	20	300
10	21	300
10	22	362
10	23	321
10	24	217
10	25	275
10	26	367
10	27	410
10	28	811
10	29	375
10	30	276
11	1	367
11	2	320
11	3	225
11	4	335
11	5	278
11	6	354
11	7	297
11	8	312
11	9	394
11	10	368
11	11	273
11	12	335
11	13	306
11	14	394
11	15	392
11	16	341
11	17	381
11	18	241
11	19	284
11	20	299
11	21	250
11	22	356
11	23	462
11	24	272
11	25	395
11	26	240
11	27	306
11	28	243
11	29	279
11	30	414
12	1	251
12	2	377
12	3	368
12	4	419
12	5	432
12	6	321
12	7	359
12	8	393
12	9	414
12	10	336
12	11	336
12	12	321
12	13	199
12	14	285
12	15	492
12	16	451
12	17	443
12	18	581
12	19	317
12	20	408
12	21	301
12	22	312
12	23	383
12	24	340
12	25	406
12	26	362
12	27	249
12	28	317
12	29	194
12	30	349
13	1	320
13	2	329
13	3	382
13	4	400
13	5	282
13	6	212
13	7	384
13	8	377
13	9	408
13	10	327
13	11	413
13	12	463
13	13	315
13	14	359
13	15	401
13	16	509
13	17	431
13	18	348
13	19	542
13	20	348
13	21	331
13	22	295
13	23	291
13	24	540
13	25	685
13	26	444
13	27	308
13	28	337
13	29	323
13	30	401
14	1	396
14	2	328
14	3	300
14	4	219
14	5	262
14	6	248
14	7	275
14	8	383
14	9	306
14	10	421
14	11	270
14	12	263
14	13	317
14	14	263
14	15	414
14	16	364
14	17	316
14	18	285
14	19	283
14	20	382
14	21	425
14	22	416
14	23	237
14	24	316
14	25	324
14	26	335
14	27	320
14	28	444
14	29	462
14	30	355
15	1	266
15	2	441
15	3	324
15	4	390
15	5	270
15	6	321
15	7	304
15	8	324
15	9	311
15	10	399
15	11	340
15	12	325
15	13	440
15	14	426
15	15	408
15	16	339
15	17	378
15	18	359
15	19	276
15	20	373
15	21	489
15	22	265
15	23	445
15	24	384
15	25	672
15	26	484
15	27	629
15	28	272
15	29	434
15	30	398
16	1	314
16	2	361
16	3	688
16	4	355
16	5	313
16	6	310
16	7	274
16	8	333
16	9	336
16	10	319
16	11	433
16	12	325
16	13	285
16	14	413
16	15	336
16	16	306
16	17	391
16	18	298
16	19	338
16	20	535
16	21	317
16	22	430
16	23	759
16	24	393
16	25	320
16	26	430
16	27	270
16	28	385
16	29	309
16	30	392
17	1	179
17	2	613
17	3	385
17	4	395
17	5	312
17	6	383
17	7	361
17	8	332
17	9	251
17	10	292
17	11	315
17	12	369
17	13	439
17	14	373
17	15	240
17	16	412
17	17	308
17	18	326
17	19	325
17	20	286
17	21	388
17	22	293
17	23	427
17	24	261
17	25	300
17	26	272
17	27	329
17	28	387
17	29	304
17	30	308
18	1	288
18	2	483
18	3	417
18	4	318
18	5	305
18	6	476
18	7	407
18	8	386
18	9	296
18	10	316
18	11	412
18	12	425
18	13	311
18	14	490
18	15	557
18	16	396
18	17	326
18	18	350
18	19	337
18	20	435
18	21	472
18	22	316
18	23	429
18	24	285
18	25	304
18	26	275
18	27	388
18	28	369
18	29	303
18	30	340
19	1	388
19	2	328
19	3	476
19	4	339
19	5	382
19	6	312
19	7	353
19	8	294
19	9	440
19	10	490
19	11	444
19	12	323
19	13	313
19	14	349
19	15	491
19	16	411
19	17	397
19	18	388
19	19	308
19	20	336
19	21	363
19	22	319
19	23	275
19	24	464
19	25	391
19	26	291
19	27	283
19	28	387
19	29	326
19	30	596
20	1	372
20	2	333
20	3	441
20	4	418
20	5	330
20	6	326
20	7	288
20	8	282
20	9	377
20	10	306
20	11	381
20	12	330
20	13	280
20	14	259
20	15	368
20	16	446
20	17	397
20	18	323
20	19	437
20	20	320
20	21	339
20	22	357
20	23	320
20	24	361
20	25	590
20	26	361
20	27	336
20	28	340
20	29	347
20	30	556
21	1	379
21	2	321
21	3	395
21	4	386
21	5	439
21	6	371
21	7	445
21	8	538
21	9	320
21	10	354
21	11	354
21	12	365
21	13	431
21	14	344
21	15	368
21	16	420
21	17	261
21	18	244
21	19	384
21	20	404
21	21	463
21	22	361
21	23	389
21	24	380
21	25	472
21	26	341
21	27	243
21	28	293
21	29	432
21	30	348
22	1	258
22	2	286
22	3	303
22	4	350
22	5	379
22	6	393
22	7	294
22	8	413
22	9	416
22	10	285
22	11	273
22	12	433
22	13	546
22	14	323
22	15	262
22	16	324
22	17	271
22	18	228
22	19	287
22	20	258
22	21	503
22	22	490
22	23	309
22	24	291
22	25	435
22	26	381
22	27	458
22	28	270
22	29	331
22	30	419
23	1	427
23	2	309
23	3	327
23	4	346
23	5	525
23	6	286
23	7	344
23	8	410
23	9	264
23	10	307
23	11	297
23	12	419
23	13	361
23	14	299
23	15	492
23	16	377
23	17	294
23	18	405
23	19	435
23	20	394
23	21	287
23	22	473
23	23	366
23	24	342
23	25	322
23	26	402
23	27	364
23	28	316
23	29	351
23	30	371
24	1	721
24	2	312
24	3	386
24	4	387
24	5	290
24	6	289
24	7	257
24	8	283
24	9	407
24	10	392
24	11	395
24	12	250
24	13	245
24	14	326
24	15	418
24	16	381
24	17	435
24	18	352
24	19	329
24	20	419
24	21	369
24	22	271
24	23	270
24	24	455
24	25	343
24	26	293
24	27	403
24	28	405
24	29	299
24	30	311
25	1	412
25	2	345
25	3	374
25	4	297
25	5	395
25	6	399
25	7	277
25	8	325
25	9	389
25	10	337
25	11	435
25	12	316
25	13	291
25	14	330
25	15	327
25	16	317
25	17	367
25	18	277
25	19	486
25	20	294
25	21	311
25	22	457
25	23	403
25	24	342
25	25	304
25	26	351
25	27	257
25	28	286
25	29	405
25	30	286
26	1	496
26	2	618
26	3	537
26	4	313
26	5	378
26	6	364
26	7	286
26	8	282
26	9	380
26	10	359
26	11	352
26	12	374
26	13	370
26	14	390
26	15	351
26	16	407
26	17	393
26	18	283
26	19	356
26	20	406
26	21	330
26	22	448
26	23	314
26	24	256
26	25	304
26	26	510
26	27	439
26	28	295
26	29	465
26	30	1038
27	1	285
27	2	485
27	3	402
27	4	355
27	5	386
27	6	332
27	7	363
27	8	338
27	9	366
27	10	326
27	11	525
27	12	341
27	13	489
27	14	1037
27	15	480
27	16	340
27	17	327
27	18	379
27	19	294
27	20	383
27	21	289
27	22	344
27	23	357
27	24	408
27	25	317
27	26	475
27	27	359
27	28	302
27	29	348
27	30	313
28	1	321
28	2	371
28	3	377
28	4	326
28	5	402
28	6	418
28	7	307
28	8	351
28	9	360
28	10	326
28	11	293
28	12	443
28	13	419
28	14	320
28	15	365
28	16	357
28	17	404
28	18	303
28	19	315
28	20	349
28	21	390
28	22	328
28	23	301
28	24	327
28	25	374
28	26	392
28	27	343
28	28	486
28	29	445
28	30	496
29	1	293
29	2	553
29	3	368
29	4	354
29	5	514
29	6	416
29	7	418
29	8	441
29	9	397
29	10	348
29	11	378
29	12	362
29	13	464
29	14	473
29	15	303
29	16	465
29	17	454
29	18	508
29	19	408
29	20	410
29	21	353
29	22	446
29	23	353
29	24	290
29	25	318
29	26	521
29	27	449
29	28	439
29	29	443
29	30	462
30	1	474
30	2	539
30	3	349
30	4	416
30	5	430
30	6	378
30	7	457
30	8	437
30	9	406
30	10	432
30	11	438
30	12	352
30	13	338
30	14	419
30	15	364
30	16	341
30	17	362
30	18	562
30	19	325
30	20	388
30	21	337
30	22	372
30	23	424
30	24	317
30	25	318
30	26	383
30	27	332
30	28	339
30	29	338
30	30	455
31	1	341
31	2	416
31	3	449
31	4	350
31	5	401
31	6	351
31	7	411
31	8	332
31	9	432
31	10	321
31	11	330
31	12	349
31	13	317
31	14	438
31	15	320
31	16	360
31	17	361
31	18	608
31	19	334
31	20	363
31	21	296
31	22	301
31	23	453
31	24	268
31	25	334
31	26	460
31	27	336
31	28	282
31	29	289
31	30	441
32	1	434
32	2	443
32	3	549
32	4	357
32	5	304
32	6	293
32	7	429
32	8	343
32	9	410
32	10	382
32	11	327
32	12	354
32	13	396
32	14	375
