NAME: 	Alexey_2day_rhand
Completed cycles:	38
Failed cycles:	1
1	1	1047
1	2	271
1	3	296
1	4	276
1	5	222
1	6	178
1	7	227
1	8	329
1	9	237
1	10	179
1	11	210
1	12	260
1	13	281
1	14	204
1	15	263
1	16	302
1	17	254
1	18	258
1	19	239
1	20	242
1	21	305
1	22	291
1	23	243
1	24	237
1	25	228
1	26	285
1	27	235
1	28	309
1	29	217
1	30	323
2	1	256
2	2	339
2	3	227
2	4	247
2	5	364
2	6	258
2	7	182
2	8	276
2	9	221
2	10	237
2	11	193
2	12	264
2	13	238
2	14	300
2	15	277
2	16	276
2	17	321
2	18	297
2	19	304
2	20	318
2	21	387
2	22	242
2	23	264
2	24	234
2	25	301
2	26	340
2	27	250
2	28	247
2	29	244
2	30	274
3	1	232
3	2	257
3	3	270
3	4	271
3	5	238
3	6	269
3	7	231
3	8	365
3	9	347
3	10	318
3	11	299
3	12	270
3	13	224
3	14	304
3	15	282
3	16	276
3	17	281
3	18	310
3	19	300
3	20	264
3	21	231
3	22	308
3	23	241
3	24	316
3	25	280
3	26	293
3	27	364
3	28	285
3	29	310
3	30	239
4	1	467
4	2	294
4	3	342
4	4	260
4	5	230
4	6	272
4	7	230
4	8	253
4	9	229
4	10	243
4	11	298
4	12	333
4	13	257
4	14	302
4	15	276
4	16	433
4	17	237
4	18	214
4	19	317
4	20	288
4	21	243
4	22	245
4	23	258
4	24	296
4	25	328
4	26	257
4	27	297
4	28	343
4	29	282
4	30	291
5	1	281
5	2	286
5	3	290
5	4	294
5	5	273
5	6	322
5	7	411
5	8	426
5	9	268
5	10	223
5	11	289
5	12	275
5	13	308
5	14	274
5	15	319
5	16	241
5	17	312
5	18	258
5	19	306
5	20	323
5	21	243
5	22	293
5	23	266
5	24	313
5	25	243
5	26	237
5	27	242
5	28	300
5	29	235
5	30	218
6	1	235
6	2	497
6	3	404
6	4	351
6	5	280
6	6	318
6	7	298
6	8	346
6	9	257
6	10	314
6	11	423
6	12	274
6	13	289
6	14	243
6	15	333
6	16	237
6	17	340
6	18	318
6	19	246
6	20	296
6	21	219
6	22	235
6	23	204
6	24	318
6	25	245
6	26	250
6	27	265
6	28	268
6	29	227
6	30	263
7	1	257
7	2	316
7	3	199
7	4	189
7	5	239
7	6	305
7	7	335
7	8	299
7	9	184
7	10	282
7	11	322
7	12	449
7	13	309
7	14	357
7	15	256
7	16	232
7	17	256
7	18	246
7	19	292
7	20	292
7	21	200
7	22	241
7	23	323
7	24	293
7	25	245
7	26	289
7	27	256
7	28	232
7	29	290
7	30	248
8	1	267
8	2	307
8	3	347
8	4	204
8	5	315
8	6	228
8	7	275
8	8	257
8	9	302
8	10	241
8	11	307
8	12	281
8	13	368
8	14	306
8	15	278
8	16	366
8	17	279
8	18	305
8	19	311
8	20	333
8	21	235
8	22	253
8	23	223
8	24	364
8	25	218
8	26	300
8	27	284
8	28	265
8	29	248
8	30	275
9	1	355
9	2	340
9	3	235
9	4	228
9	5	259
9	6	258
9	7	317
9	8	329
9	9	353
9	10	305
9	11	272
9	12	337
9	13	220
9	14	343
9	15	371
9	16	336
9	17	338
9	18	255
9	19	382
9	20	341
9	21	247
9	22	296
9	23	343
9	24	245
9	25	446
9	26	271
9	27	241
9	28	248
9	29	279
9	30	275
10	1	254
10	2	471
10	3	356
10	4	323
10	5	327
10	6	294
10	7	237
10	8	300
10	9	271
10	10	234
10	11	236
10	12	292
10	13	334
10	14	253
10	15	253
10	16	373
10	17	236
10	18	249
10	19	254
10	20	397
10	21	314
10	22	325
10	23	316
10	24	243
10	25	338
10	26	280
10	27	292
10	28	276
10	29	252
10	30	287
11	1	321
11	2	240
11	3	329
11	4	279
11	5	271
11	6	230
11	7	284
11	8	228
11	9	335
11	10	203
11	11	433
11	12	244
11	13	238
11	14	253
11	15	276
11	16	278
11	17	232
11	18	264
11	19	293
11	20	289
11	21	257
11	22	300
11	23	293
11	24	279
11	25	291
11	26	220
11	27	228
11	28	375
11	29	271
11	30	291
12	1	347
12	2	263
12	3	241
12	4	307
12	5	350
12	6	271
12	7	211
12	8	267
12	9	244
12	10	288
12	11	323
12	12	229
12	13	245
12	14	313
12	15	257
12	16	307
12	17	222
12	18	245
12	19	280
12	20	308
12	21	230
12	22	302
12	23	247
12	24	307
12	25	394
12	26	293
12	27	248
12	28	318
12	29	199
12	30	237
13	1	309
13	2	280
13	3	259
13	4	230
13	5	314
13	6	275
13	7	223
13	8	312
13	9	260
13	10	272
13	11	241
13	12	395
13	13	277
13	14	323
13	15	216
13	16	260
13	17	259
13	18	244
13	19	257
13	20	237
13	21	351
13	22	451
13	23	361
13	24	233
13	25	318
13	26	280
13	27	288
13	28	285
13	29	329
13	30	230
14	1	364
14	2	256
14	3	281
14	4	342
14	5	319
14	6	282
14	7	380
14	8	273
14	9	280
14	10	316
14	11	264
14	12	271
14	13	367
14	14	514
14	15	230
14	16	249
14	17	246
14	18	302
14	19	260
14	20	276
14	21	316
14	22	252
14	23	251
14	24	238
14	25	339
14	26	315
14	27	237
14	28	233
14	29	244
14	30	412
15	1	246
15	2	298
15	3	322
15	4	265
15	5	261
15	6	333
15	7	237
15	8	279
15	9	346
15	10	322
15	11	243
15	12	258
15	13	279
15	14	246
15	15	272
15	16	308
15	17	207
15	18	253
15	19	208
15	20	302
15	21	283
15	22	249
15	23	191
15	24	313
15	25	264
15	26	298
15	27	230
15	28	321
15	29	217
15	30	309
16	1	220
16	2	420
16	3	360
16	4	360
16	5	265
16	6	278
16	7	235
16	8	268
16	9	337
16	10	259
16	11	346
16	12	256
16	13	293
16	14	214
16	15	269
16	16	250
16	17	281
16	18	296
16	19	228
16	20	356
16	21	214
16	22	302
16	23	337
16	24	240
16	25	291
16	26	260
16	27	207
16	28	232
16	29	314
16	30	322
17	1	335
17	2	256
17	3	222
17	4	288
17	5	264
17	6	294
17	7	288
17	8	238
17	9	303
17	10	216
17	11	386
17	12	253
17	13	228
17	14	214
17	15	269
17	16	331
17	17	249
17	18	242
17	19	220
17	20	249
17	21	264
17	22	285
17	23	260
17	24	265
17	25	263
17	26	309
17	27	247
17	28	327
17	29	224
17	30	261
18	1	336
18	2	214
18	3	291
18	4	291
18	5	379
18	6	419
18	7	295
18	8	224
18	9	229
18	10	227
18	11	326
18	12	290
18	13	305
18	14	337
18	15	217
18	16	349
18	17	349
18	18	321
18	19	202
18	20	218
18	21	308
18	22	331
18	23	343
18	24	320
18	25	146
18	26	249
18	27	236
18	28	359
18	29	362
18	30	330
19	1	329
19	2	284
19	3	213
19	4	221
19	5	229
19	6	220
19	7	309
19	8	218
19	9	207
19	10	228
19	11	270
19	12	174
19	13	249
19	14	233
19	15	208
19	16	219
19	17	204
19	18	270
19	19	210
19	20	171
19	21	192
19	22	243
19	23	396
19	24	201
19	25	256
19	26	226
19	27	325
19	28	352
19	29	384
19	30	235
20	1	328
20	2	337
20	3	213
20	4	397
20	5	206
20	6	328
20	7	301
20	8	258
20	9	322
20	10	185
20	11	260
20	12	252
20	13	233
20	14	263
20	15	315
20	16	290
20	17	191
20	18	213
20	19	349
20	20	347
20	21	255
20	22	274
20	23	315
20	24	317
20	25	338
20	26	313
20	27	316
20	28	289
20	29	309
20	30	248
21	1	317
21	2	369
21	3	281
21	4	287
21	5	198
21	6	250
21	7	242
21	8	415
21	9	406
21	10	275
21	11	290
21	12	398
21	13	253
21	14	318
21	15	223
21	16	245
21	17	400
21	18	213
21	19	379
21	20	369
21	21	454
21	22	242
21	23	244
21	24	370
21	25	348
21	26	237
21	27	228
21	28	251
21	29	288
21	30	235
22	1	338
22	2	244
22	3	318
22	4	348
22	5	345
22	6	303
22	7	279
22	8	253
22	9	213
22	10	317
22	11	274
22	12	237
22	13	220
22	14	245
22	15	459
22	16	257
22	17	255
22	18	417
22	19	226
22	20	214
22	21	246
22	22	317
