NAME: 	Alexey_3day_lhand
Completed cycles:	38
Failed cycles:	1
1	1	697
1	2	275
1	3	228
1	4	227
1	5	285
1	6	210
1	7	251
1	8	272
1	9	232
1	10	244
1	11	231
1	12	333
1	13	226
1	14	203
1	15	229
1	16	322
1	17	348
1	18	244
1	19	273
1	20	241
1	21	247
1	22	260
1	23	267
1	24	300
1	25	280
1	26	210
1	27	245
1	28	315
1	29	205
1	30	221
2	1	290
2	2	312
2	3	229
2	4	296
2	5	202
2	6	287
2	7	224
2	8	302
2	9	235
2	10	231
2	11	300
2	12	271
2	13	287
2	14	255
2	15	202
2	16	251
2	17	304
2	18	246
2	19	312
2	20	238
2	21	268
2	22	369
2	23	294
2	24	239
2	25	312
2	26	308
2	27	262
2	28	248
2	29	257
2	30	242
3	1	254
3	2	224
3	3	264
3	4	245
3	5	276
3	6	313
3	7	193
3	8	268
3	9	267
3	10	255
3	11	282
3	12	284
3	13	349
3	14	197
3	15	252
3	16	221
3	17	204
3	18	251
3	19	284
3	20	233
3	21	296
3	22	305
3	23	239
3	24	284
3	25	238
3	26	253
3	27	308
3	28	185
3	29	334
3	30	237
4	1	256
4	2	230
4	3	257
4	4	298
4	5	256
4	6	274
4	7	317
4	8	276
4	9	307
4	10	356
4	11	265
4	12	229
4	13	220
4	14	214
4	15	230
4	16	279
4	17	228
4	18	354
4	19	232
4	20	208
4	21	206
4	22	202
4	23	206
4	24	223
4	25	210
4	26	300
4	27	216
4	28	227
4	29	232
4	30	184
5	1	227
5	2	205
5	3	225
5	4	222
5	5	293
5	6	220
5	7	201
5	8	215
5	9	396
5	10	213
5	11	276
5	12	244
5	13	220
5	14	296
5	15	258
5	16	202
5	17	365
5	18	181
5	19	316
5	20	208
5	21	195
5	22	253
5	23	230
5	24	318
5	25	229
5	26	325
5	27	251
5	28	282
5	29	421
5	30	288
6	1	250
6	2	327
6	3	261
6	4	296
6	5	269
6	6	231
6	7	317
6	8	343
6	9	247
6	10	343
6	11	227
6	12	197
6	13	334
6	14	278
6	15	256
6	16	184
6	17	321
6	18	321
6	19	232
6	20	355
6	21	238
6	22	238
6	23	264
6	24	213
6	25	395
6	26	235
6	27	405
6	28	347
6	29	231
6	30	261
7	1	264
7	2	345
7	3	319
7	4	356
7	5	265
7	6	252
7	7	256
7	8	282
7	9	281
7	10	211
7	11	290
7	12	231
7	13	366
7	14	235
7	15	227
7	16	242
7	17	251
7	18	229
7	19	241
7	20	289
7	21	348
7	22	222
7	23	254
7	24	322
7	25	188
7	26	300
7	27	330
7	28	211
7	29	284
7	30	412
8	1	250
8	2	229
8	3	304
8	4	254
8	5	231
8	6	305
8	7	210
8	8	244
8	9	365
8	10	267
8	11	352
8	12	231
8	13	399
8	14	358
8	15	300
8	16	503
8	17	385
8	18	325
8	19	343
8	20	365
8	21	366
8	22	318
8	23	213
8	24	294
8	25	247
8	26	327
8	27	210
8	28	203
8	29	218
8	30	268
9	1	208
9	2	250
9	3	367
9	4	282
9	5	325
9	6	355
9	7	390
9	8	240
9	9	296
9	10	282
9	11	232
9	12	336
9	13	342
9	14	225
9	15	271
9	16	324
9	17	327
9	18	301
9	19	317
9	20	340
9	21	260
9	22	294
9	23	317
9	24	238
9	25	280
9	26	377
9	27	346
9	28	206
9	29	334
9	30	247
10	1	336
10	2	389
10	3	239
10	4	301
10	5	214
10	6	269
10	7	226
10	8	230
10	9	252
10	10	289
10	11	256
10	12	358
10	13	303
10	14	208
10	15	202
10	16	244
10	17	271
10	18	193
10	19	255
10	20	236
10	21	355
10	22	367
10	23	197
10	24	197
10	25	298
10	26	238
10	27	548
10	28	240
10	29	395
10	30	258
11	1	343
11	2	320
11	3	245
11	4	296
11	5	264
11	6	258
11	7	223
11	8	291
11	9	315
11	10	190
11	11	243
11	12	298
11	13	224
11	14	425
11	15	345
11	16	224
11	17	229
11	18	216
11	19	336
11	20	211
11	21	243
11	22	262
11	23	345
11	24	210
11	25	235
11	26	336
11	27	223
11	28	295
11	29	234
11	30	320
12	1	237
12	2	240
12	3	316
12	4	190
12	5	300
12	6	209
12	7	356
12	8	166
12	9	212
12	10	284
12	11	225
12	12	201
12	13	193
12	14	253
12	15	217
12	16	244
12	17	520
12	18	272
12	19	237
12	20	202
12	21	322
12	22	235
12	23	256
12	24	333
12	25	192
12	26	235
12	27	191
12	28	229
12	29	246
12	30	233
13	1	332
13	2	464
13	3	354
13	4	211
13	5	293
13	6	240
13	7	194
13	8	333
13	9	402
13	10	152
13	11	170
13	12	202
13	13	322
13	14	229
13	15	221
13	16	251
13	17	309
13	18	266
13	19	279
13	20	309
13	21	221
13	22	286
13	23	275
13	24	236
13	25	225
13	26	282
13	27	298
13	28	350
13	29	357
13	30	171
14	1	329
14	2	249
14	3	296
14	4	379
14	5	210
14	6	303
14	7	231
14	8	335
14	9	325
14	10	360
14	11	246
14	12	217
14	13	261
14	14	309
14	15	233
14	16	249
14	17	183
14	18	293
14	19	4
14	20	253
14	21	294
14	22	367
14	23	301
14	24	248
14	25	253
14	26	274
14	27	261
14	28	231
14	29	260
14	30	325
15	1	251
15	2	298
15	3	269
15	4	263
15	5	224
15	6	302
15	7	334
15	8	300
15	9	250
15	10	333
15	11	265
15	12	251
15	13	183
15	14	306
15	15	235
15	16	384
15	17	340
15	18	246
15	19	189
15	20	276
15	21	236
15	22	224
15	23	200
15	24	366
15	25	223
15	26	321
15	27	225
15	28	256
15	29	271
15	30	218
16	1	234
16	2	227
16	3	137
16	4	271
16	5	313
16	6	350
16	7	264
16	8	291
16	9	254
16	10	233
16	11	223
16	12	226
16	13	325
16	14	250
16	15	209
16	16	245
16	17	248
16	18	290
16	19	285
16	20	266
16	21	236
16	22	339
16	23	270
16	24	325
16	25	212
16	26	261
16	27	258
16	28	222
16	29	277
16	30	383
17	1	210
17	2	250
17	3	409
17	4	226
17	5	234
17	6	468
17	7	270
17	8	313
17	9	257
17	10	406
17	11	308
17	12	245
17	13	288
17	14	221
17	15	303
17	16	211
17	17	293
17	18	228
17	19	330
17	20	260
17	21	320
17	22	253
17	23	199
17	24	211
17	25	251
17	26	285
17	27	294
17	28	287
17	29	225
17	30	203
18	1	250
18	2	303
18	3	295
18	4	284
18	5	259
18	6	232
18	7	239
18	8	229
18	9	305
18	10	197
18	11	263
18	12	328
18	13	297
18	14	264
18	15	335
18	16	224
18	17	320
18	18	269
18	19	295
18	20	274
18	21	245
18	22	297
18	23	239
18	24	227
18	25	297
18	26	351
18	27	267
18	28	294
18	29	221
18	30	333
19	1	347
19	2	374
19	3	196
19	4	316
19	5	293
19	6	304
19	7	280
19	8	341
19	9	276
19	10	242
19	11	283
19	12	265
19	13	263
19	14	272
19	15	271
19	16	313
19	17	311
19	18	399
19	19	237
19	20	387
19	21	221
19	22	263
19	23	325
19	24	325
19	25	310
19	26	286
19	27	292
19	28	466
19	29	321
19	30	356
20	1	406
20	2	348
20	3	304
20	4	280
20	5	225
20	6	267
20	7	296
20	8	302
20	9	306
20	10	237
20	11	252
20	12	231
20	13	220
20	14	315
20	15	326
20	16	241
20	17	303
20	18	310
20	19	269
20	20	314
20	21	243
20	22	450
20	23	190
20	24	338
20	25	337
20	26	234
20	27	229
20	28	325
20	29	252
20	30	224
21	1	409
21	2	380
21	3	334
21	4	183
21	5	199
21	6	227
21	7	360
21	8	231
21	9	228
21	10	342
21	11	203
21	12	185
21	13	225
21	14	392
21	15	372
21	16	227
21	17	295
21	18	294
21	19	329
21	20	289
21	21	233
21	22	208
21	23	260
21	24	234
21	25	221
21	26	255
21	27	179
21	28	239
21	29	240
21	30	214
22	1	255
22	2	332
22	3	292
22	4	246
22	5	264
22	6	305
22	7	249
22	8	272
22	9	220
