NAME: 	Anna_1day_lhand
Completed cycles:	35
Failed cycles:	1
1	1	986
1	2	276
1	3	222
1	4	288
1	5	339
1	6	372
1	7	376
1	8	366
1	9	255
1	10	347
1	11	283
1	12	293
1	13	395
1	14	314
1	15	262
1	16	321
1	17	282
1	18	293
1	19	262
1	20	329
1	21	226
1	22	246
1	23	294
1	24	300
1	25	270
1	26	283
1	27	242
1	28	355
1	29	250
1	30	395
2	1	464
2	2	306
2	3	346
2	4	294
2	5	320
2	6	310
2	7	370
2	8	272
2	9	246
2	10	330
2	11	379
2	12	307
2	13	275
2	14	265
2	15	327
2	16	272
2	17	273
2	18	258
2	19	310
2	20	258
2	21	395
2	22	218
2	23	610
2	24	494
2	25	393
2	26	335
2	27	330
2	28	298
2	29	332
2	30	298
3	1	343
3	2	393
3	3	407
3	4	305
3	5	289
3	6	344
3	7	364
3	8	255
3	9	314
3	10	351
3	11	402
3	12	329
3	13	297
3	14	487
3	15	262
3	16	325
3	17	285
3	18	333
3	19	251
3	20	291
3	21	259
3	22	821
3	23	338
3	24	321
3	25	737
3	26	346
3	27	312
3	28	340
3	29	283
3	30	239
4	1	297
4	2	305
4	3	279
4	4	338
4	5	257
4	6	242
4	7	311
4	8	361
4	9	298
4	10	235
4	11	253
4	12	221
4	13	257
4	14	315
4	15	228
4	16	212
4	17	316
4	18	264
4	19	278
4	20	238
4	21	392
4	22	310
4	23	275
4	24	290
4	25	240
4	26	272
4	27	317
4	28	251
4	29	230
4	30	289
5	1	189
5	2	366
5	3	217
5	4	326
5	5	307
5	6	241
5	7	385
5	8	301
5	9	267
5	10	272
5	11	299
5	12	262
5	13	291
5	14	322
5	15	290
5	16	317
5	17	237
5	18	336
5	19	288
5	20	287
5	21	296
5	22	305
5	23	276
5	24	278
5	25	313
5	26	284
5	27	324
5	28	245
5	29	377
5	30	266
6	1	299
6	2	287
6	3	223
6	4	342
6	5	377
6	6	342
6	7	289
6	8	274
6	9	320
6	10	254
6	11	280
6	12	275
6	13	256
6	14	237
6	15	225
6	16	357
6	17	311
6	18	269
6	19	350
6	20	256
6	21	225
6	22	235
6	23	287
6	24	221
6	25	305
6	26	280
6	27	234
6	28	268
6	29	370
6	30	237
7	1	276
7	2	235
7	3	202
7	4	565
7	5	423
7	6	318
7	7	330
7	8	410
7	9	303
7	10	471
7	11	555
7	12	291
7	13	589
7	14	250
7	15	446
7	16	335
7	17	266
7	18	228
7	19	242
7	20	303
7	21	380
7	22	370
7	23	309
7	24	269
7	25	410
7	26	504
7	27	294
7	28	318
7	29	364
7	30	215
8	1	258
8	2	225
8	3	363
8	4	220
8	5	287
8	6	319
8	7	268
8	8	259
8	9	306
8	10	287
8	11	316
8	12	281
8	13	236
8	14	272
8	15	313
8	16	341
8	17	247
8	18	255
8	19	301
8	20	286
8	21	248
8	22	351
8	23	292
8	24	306
8	25	368
8	26	317
8	27	259
8	28	365
8	29	306
8	30	354
9	1	257
9	2	330
9	3	319
9	4	367
9	5	339
9	6	269
9	7	268
9	8	268
9	9	306
9	10	349
9	11	257
9	12	253
9	13	289
9	14	296
9	15	312
9	16	316
9	17	326
9	18	351
9	19	267
9	20	260
9	21	299
9	22	349
9	23	309
9	24	312
9	25	291
9	26	309
9	27	401
9	28	249
9	29	326
9	30	339
10	1	299
10	2	311
10	3	305
10	4	480
10	5	280
10	6	330
10	7	284
10	8	357
10	9	239
10	10	297
10	11	319
10	12	316
10	13	388
10	14	336
10	15	285
10	16	294
10	17	561
10	18	290
10	19	315
10	20	319
10	21	367
10	22	257
10	23	291
10	24	320
10	25	264
10	26	311
10	27	371
10	28	226
10	29	297
10	30	362
11	1	252
11	2	201
11	3	323
11	4	386
11	5	208
11	6	302
11	7	267
11	8	276
11	9	306
11	10	391
11	11	212
11	12	227
11	13	376
11	14	274
11	15	815
11	16	391
11	17	275
11	18	309
11	19	382
11	20	318
11	21	244
11	22	370
11	23	328
11	24	312
11	25	379
11	26	287
11	27	229
11	28	309
11	29	30
11	30	428
12	1	496
12	2	288
12	3	267
12	4	276
12	5	253
12	6	258
12	7	333
12	8	290
12	9	190
12	10	298
12	11	280
12	12	262
12	13	353
12	14	371
12	15	267
12	16	308
12	17	307
12	18	311
12	19	328
12	20	329
12	21	282
12	22	296
12	23	543
12	24	355
12	25	311
12	26	315
12	27	384
12	28	309
12	29	335
12	30	336
13	1	576
13	2	391
13	3	368
13	4	351
13	5	267
13	6	253
13	7	256
13	8	306
13	9	356
13	10	314
13	11	331
13	12	320
13	13	249
13	14	337
13	15	239
13	16	314
13	17	353
13	18	336
13	19	250
13	20	249
13	21	612
13	22	276
13	23	438
13	24	354
13	25	357
13	26	265
13	27	324
13	28	347
13	29	256
13	30	326
14	1	565
14	2	269
14	3	344
14	4	408
14	5	375
14	6	289
14	7	270
14	8	454
14	9	289
14	10	307
14	11	293
14	12	244
14	13	301
14	14	339
14	15	305
14	16	260
14	17	219
14	18	357
14	19	267
14	20	349
14	21	239
14	22	471
14	23	329
14	24	314
14	25	200
14	26	327
14	27	316
14	28	247
14	29	336
14	30	256
15	1	202
15	2	337
15	3	319
15	4	172
15	5	250
15	6	360
15	7	277
15	8	334
15	9	395
15	10	266
15	11	268
15	12	303
15	13	237
15	14	423
15	15	152
15	16	362
15	17	318
15	18	446
15	19	290
15	20	291
15	21	295
15	22	267
15	23	291
15	24	288
15	25	335
15	26	366
15	27	307
15	28	249
15	29	272
15	30	344
16	1	312
16	2	322
16	3	373
16	4	328
16	5	259
16	6	236
16	7	308
16	8	370
16	9	289
16	10	320
16	11	334
16	12	471
16	13	257
16	14	326
16	15	239
16	16	392
16	17	280
16	18	376
16	19	292
16	20	283
16	21	391
16	22	262
16	23	222
16	24	239
16	25	318
16	26	277
16	27	441
16	28	313
16	29	359
16	30	384
17	1	352
17	2	404
17	3	262
17	4	348
17	5	355
17	6	360
17	7	253
17	8	308
17	9	305
17	10	311
17	11	269
17	12	298
17	13	334
17	14	238
17	15	287
17	16	237
17	17	376
17	18	414
17	19	365
17	20	242
17	21	299
17	22	330
17	23	304
17	24	319
17	25	262
17	26	234
17	27	243
17	28	344
17	29	308
17	30	380
18	1	364
18	2	398
18	3	299
18	4	578
18	5	318
18	6	360
18	7	242
18	8	314
18	9	262
18	10	294
18	11	254
18	12	306
18	13	341
18	14	344
18	15	349
18	16	294
18	17	261
18	18	532
18	19	429
18	20	299
18	21	351
18	22	299
18	23	353
18	24	374
18	25	463
18	26	167
18	27	372
18	28	425
18	29	205
18	30	325
19	1	495
19	2	291
19	3	479
19	4	301
19	5	291
19	6	337
19	7	325
19	8	399
19	9	346
19	10	894
19	11	337
19	12	462
19	13	436
19	14	289
19	15	328
19	16	283
19	17	304
19	18	253
19	19	365
19	20	315
19	21	398
19	22	164
19	23	485
19	24	463
19	25	381
19	26	270
19	27	298
19	28	402
19	29	289
19	30	275
20	1	280
20	2	368
20	3	343
20	4	254
20	5	272
20	6	283
20	7	247
20	8	341
20	9	344
20	10	359
20	11	292
20	12	390
20	13	335
20	14	384
20	15	304
20	16	361
20	17	278
20	18	329
20	19	237
20	20	428
20	21	327
20	22	356
20	23	316
20	24	383
20	25	278
20	26	369
20	27	533
20	28	430
20	29	222
20	30	335
21	1	384
21	2	292
21	3	546
21	4	265
21	5	336
21	6	355
21	7	342
21	8	291
21	9	313
21	10	361
21	11	371
21	12	268
21	13	271
21	14	254
21	15	344
21	16	338
21	17	291
21	18	211
21	19	271
21	20	304
21	21	205
21	22	225
21	23	303
21	24	337
21	25	242
21	26	226
21	27	369
21	28	384
21	29	176
21	30	470
22	1	216
22	2	343
22	3	388
22	4	302
22	5	126
22	6	418
22	7	441
22	8	387
22	9	377
22	10	285
22	11	289
22	12	299
22	13	244
22	14	420
22	15	348
22	16	320
22	17	268
22	18	378
22	19	401
22	20	454
22	21	369
22	22	271
22	23	438
22	24	517
22	25	273
22	26	346
22	27	236
22	28	232
22	29	278
22	30	311
23	1	302
23	2	366
23	3	274
23	4	371
23	5	320
23	6	462
23	7	551
23	8	357
23	9	334
23	10	323
23	11	423
23	12	252
23	13	298
23	14	343
23	15	301
23	16	285
23	17	331
23	18	320
23	19	315
23	20	303
23	21	277
23	22	296
23	23	357
23	24	329
23	25	337
23	26	308
23	27	260
23	28	269
23	29	327
23	30	263
24	1	385
24	2	374
24	3	474
24	4	491
24	5	461
24	6	282
24	7	280
24	8	306
24	9	353
24	10	215
24	11	477
24	12	346
24	13	354
24	14	465
24	15	315
24	16	347
24	17	230
24	18	332
24	19	399
24	20	244
24	21	333
24	22	313
24	23	208
24	24	235
24	25	301
24	26	320
24	27	304
24	28	277
24	29	250
24	30	552
25	1	353
25	2	285
25	3	371
25	4	525
25	5	317
25	6	533
25	7	469
25	8	321
25	9	272
25	10	278
25	11	425
25	12	357
25	13	259
25	14	335
25	15	236
25	16	526
25	17	335
25	18	553
25	19	381
25	20	245
25	21	287
25	22	417
25	23	322
25	24	358
25	25	301
25	26	300
25	27	314
25	28	272
25	29	285
25	30	325
26	1	322
26	2	278
26	3	247
26	4	255
26	5	314
26	6	395
26	7	204
26	8	241
26	9	456
26	10	441
26	11	310
26	12	290
26	13	477
26	14	331
26	15	364
26	16	302
26	17	281
26	18	306
26	19	338
26	20	260
26	21	497
26	22	354
26	23	311
26	24	333
26	25	268
26	26	263
26	27	282
26	28	314
26	29	428
26	30	277
27	1	263
27	2	339
27	3	247
27	4	219
27	5	226
27	6	219
27	7	297
27	8	262
27	9	409
27	10	313
27	11	386
27	12	378
27	13	238
27	14	237
27	15	278
27	16	230
27	17	281
27	18	272
27	19	277
27	20	328
27	21	295
27	22	257
27	23	271
27	24	312
27	25	227
27	26	356
27	27	264
27	28	329
27	29	238
27	30	230
28	1	244
28	2	284
28	3	280
28	4	555
28	5	364
28	6	278
28	7	535
28	8	344
28	9	257
28	10	298
28	11	321
28	12	201
28	13	441
28	14	389
28	15	262
28	16	207
28	17	369
28	18	259
28	19	497
28	20	223
28	21	299
28	22	268
28	23	373
28	24	336
28	25	344
28	26	294
28	27	514
28	28	488
28	29	358
28	30	212
29	1	328
29	2	508
29	3	444
29	4	356
29	5	264
29	6	285
29	7	214
29	8	252
29	9	306
29	10	289
29	11	209
29	12	258
29	13	261
29	14	382
29	15	293
29	16	498
29	17	306
29	18	256
29	19	347
29	20	245
29	21	390
29	22	334
29	23	402
29	24	292
29	25	258
29	26	249
29	27	202
29	28	280
29	29	233
29	30	308
30	1	182
30	2	215
30	3	322
30	4	269
30	5	308
30	6	214
30	7	359
30	8	331
30	9	296
30	10	519
30	11	402
30	12	238
30	13	392
30	14	376
30	15	329
30	16	233
30	17	218
30	18	283
30	19	327
30	20	273
30	21	298
30	22	332
30	23	1023
30	24	290
30	25	272
30	26	397
30	27	342
30	28	367
30	29	289
30	30	393
31	1	339
31	2	231
31	3	513
31	4	364
31	5	78
31	6	298
31	7	338
