NAME: 	Anna_1day_rhand
Completed cycles:	37
Failed cycles:	1
1	1	840
1	2	301
1	3	220
1	4	277
1	5	215
1	6	277
1	7	209
1	8	217
1	9	213
1	10	272
1	11	308
1	12	366
1	13	499
1	14	213
1	15	190
1	16	222
1	17	502
1	18	360
1	19	266
1	20	279
1	21	225
1	22	276
1	23	184
1	24	255
1	25	336
1	26	232
1	27	237
1	28	298
1	29	292
1	30	246
2	1	481
2	2	364
2	3	283
2	4	276
2	5	244
2	6	289
2	7	273
2	8	279
2	9	204
2	10	269
2	11	250
2	12	293
2	13	347
2	14	264
2	15	244
2	16	216
2	17	258
2	18	318
2	19	191
2	20	234
2	21	288
2	22	212
2	23	297
2	24	274
2	25	274
2	26	199
2	27	142
2	28	284
2	29	302
2	30	252
3	1	226
3	2	275
3	3	277
3	4	388
3	5	213
3	6	255
3	7	212
3	8	487
3	9	250
3	10	227
3	11	295
3	12	265
3	13	277
3	14	242
3	15	203
3	16	225
3	17	208
3	18	255
3	19	279
3	20	259
3	21	241
3	22	446
3	23	287
3	24	207
3	25	291
3	26	308
3	27	323
3	28	309
3	29	258
3	30	223
4	1	415
4	2	380
4	3	312
4	4	205
4	5	255
4	6	272
4	7	278
4	8	230
4	9	283
4	10	209
4	11	230
4	12	337
4	13	250
4	14	251
4	15	305
4	16	368
4	17	261
4	18	273
4	19	335
4	20	209
4	21	251
4	22	187
4	23	238
4	24	235
4	25	226
4	26	410
4	27	350
4	28	307
4	29	152
4	30	303
5	1	283
5	2	315
5	3	273
5	4	274
5	5	281
5	6	342
5	7	232
5	8	257
5	9	296
5	10	361
5	11	391
5	12	330
5	13	274
5	14	237
5	15	141
5	16	264
5	17	247
5	18	243
5	19	260
5	20	324
5	21	262
5	22	240
5	23	380
5	24	288
5	25	212
5	26	362
5	27	234
5	28	110
5	29	222
5	30	163
6	1	422
6	2	456
6	3	230
6	4	291
6	5	243
6	6	334
6	7	275
6	8	195
6	9	264
6	10	243
6	11	308
6	12	215
6	13	300
6	14	477
6	15	244
6	16	269
6	17	257
6	18	353
6	19	407
6	20	245
6	21	243
6	22	190
6	23	227
6	24	290
6	25	328
6	26	218
6	27	260
6	28	269
6	29	175
6	30	230
7	1	361
7	2	228
7	3	281
7	4	306
7	5	229
7	6	213
7	7	269
7	8	166
7	9	203
7	10	223
7	11	222
7	12	291
7	13	294
7	14	270
7	15	283
7	16	287
7	17	256
7	18	260
7	19	281
7	20	203
7	21	216
7	22	172
7	23	363
7	24	296
7	25	181
7	26	237
7	27	258
7	28	230
7	29	207
7	30	303
8	1	393
8	2	398
8	3	260
8	4	323
8	5	256
8	6	337
8	7	294
8	8	263
8	9	299
8	10	292
8	11	220
8	12	245
8	13	284
8	14	434
8	15	322
8	16	245
8	17	207
8	18	325
8	19	540
8	20	323
8	21	197
8	22	323
8	23	326
8	24	457
8	25	355
8	26	479
8	27	394
8	28	181
8	29	312
8	30	351
9	1	348
9	2	324
9	3	352
9	4	330
9	5	325
9	6	237
9	7	403
9	8	295
9	9	256
9	10	258
9	11	268
9	12	267
9	13	349
9	14	208
9	15	252
9	16	318
9	17	280
9	18	273
9	19	336
9	20	258
9	21	291
9	22	242
9	23	325
9	24	369
9	25	243
9	26	227
9	27	307
9	28	244
9	29	448
9	30	355
10	1	337
10	2	426
10	3	385
10	4	257
10	5	256
10	6	267
10	7	283
10	8	262
10	9	214
10	10	245
10	11	331
10	12	238
10	13	395
10	14	359
10	15	285
10	16	344
10	17	293
10	18	237
10	19	254
10	20	343
10	21	286
10	22	236
10	23	320
10	24	254
10	25	281
10	26	256
10	27	244
10	28	224
10	29	256
10	30	316
11	1	293
11	2	315
11	3	249
11	4	333
11	5	283
11	6	271
11	7	205
11	8	436
11	9	280
11	10	229
11	11	401
11	12	216
11	13	261
11	14	214
11	15	503
11	16	271
11	17	192
11	18	227
11	19	227
11	20	236
11	21	325
11	22	253
11	23	181
11	24	284
11	25	275
11	26	217
11	27	221
11	28	248
11	29	196
11	30	247
12	1	288
12	2	211
12	3	249
12	4	287
12	5	232
12	6	272
12	7	220
12	8	244
12	9	258
12	10	297
12	11	254
12	12	245
12	13	221
12	14	255
12	15	265
12	16	189
12	17	226
12	18	292
12	19	228
12	20	343
12	21	178
12	22	297
12	23	270
12	24	259
12	25	364
12	26	424
12	27	315
12	28	228
12	29	222
12	30	229
13	1	299
13	2	312
13	3	246
13	4	256
13	5	172
13	6	248
13	7	233
13	8	186
13	9	114
13	10	179
13	11	275
13	12	192
13	13	246
13	14	232
13	15	266
13	16	133
13	17	181
13	18	394
13	19	188
13	20	326
13	21	360
13	22	217
13	23	299
13	24	214
13	25	299
13	26	222
13	27	212
13	28	213
13	29	268
13	30	269
14	1	253
14	2	325
14	3	235
14	4	325
14	5	329
14	6	330
14	7	228
14	8	409
14	9	287
