NAME: 	Arina_1day_rhand
Completed cycles:	32
Failed cycles:	1
Cycle	Trial	RT	Accuracy
1	1	648	T
1	2	385	T
1	3	363	T
1	4	399	T
1	5	408	T
1	6	314	T
1	7	284	T
1	8	323	T
1	9	364	T
1	10	364	T
1	11	402	T
1	12	334	T
1	13	438	T
1	14	398	T
1	15	361	T
1	16	310	T
1	17	282	T
1	18	268	T
1	19	365	T
1	20	306	T
1	21	380	T
1	22	410	T
1	23	366	T
1	24	362	T
1	25	277	T
1	26	331	T
1	27	293	T
1	28	314	T
1	29	333	T
1	30	403	T
2	1	281	F
2	2	515	T
2	3	318	T
2	4	364	T
2	5	431	T
2	6	307	T
2	7	273	T
2	8	384	T
2	9	301	F
2	10	252	T
2	11	335	T
2	12	284	T
2	13	568	T
2	14	381	T
2	15	406	T
2	16	435	T
2	17	502	T
2	18	414	T
2	19	371	T
2	20	364	T
2	21	408	T
2	22	343	T
2	23	341	T
2	24	390	T
2	25	484	T
2	26	333	T
2	27	339	T
2	28	347	T
2	29	358	T
2	30	444	T
3	1	360	T
3	2	422	T
3	3	375	T
3	4	328	T
3	5	340	T
3	6	412	T
3	7	331	T
3	8	279	T
3	9	339	T
3	10	318	T
3	11	289	T
3	12	331	T
3	13	392	T
3	14	297	T
3	15	268	T
3	16	333	T
3	17	269	T
3	18	236	T
3	19	299	T
3	20	260	T
3	21	467	T
3	22	273	T
3	23	301	T
3	24	338	T
3	25	365	T
3	26	373	T
3	27	283	T
3	28	290	T
3	29	292	T
3	30	463	T
4	1	306	F
4	2	304	T
4	3	312	F
4	4	412	T
4	5	312	T
4	6	319	T
4	7	367	T
4	8	437	T
4	9	373	T
4	10	373	T
4	11	358	T
4	12	322	T
4	13	370	T
4	14	418	T
4	15	365	T
4	16	557	T
4	17	375	T
4	18	311	T
4	19	327	T
4	20	380	T
4	21	307	T
4	22	378	T
4	23	348	T
4	24	313	T
4	25	331	T
4	26	311	T
4	27	328	T
4	28	330	T
4	29	317	T
4	30	327	T
5	1	458	T
5	2	279	T
5	3	463	T
5	4	325	T
5	5	289	T
5	6	320	T
5	7	437	T
5	8	338	T
5	9	477	T
5	10	366	T
5	11	504	T
5	12	329	T
5	13	534	T
5	14	493	T
5	15	1154	T
5	16	385	T
5	17	367	T
5	18	379	T
5	19	355	T
5	20	446	T
5	21	303	T
5	22	571	T
5	23	381	T
5	24	334	T
5	25	306	T
5	26	278	T
5	27	303	T
5	28	322	T
5	29	324	T
5	30	407	T
6	1	423	T
6	2	437	T
6	3	468	T
6	4	324	T
6	5	312	T
6	6	344	T
6	7	329	F
6	8	330	T
6	9	379	T
6	10	417	T
6	11	414	T
6	12	324	T
6	13	378	T
6	14	396	T
6	15	394	T
6	16	349	T
6	17	299	T
6	18	350	T
6	19	410	T
6	20	335	T
6	21	342	T
6	22	336	T
6	23	305	T
6	24	458	T
6	25	333	T
6	26	307	T
6	27	387	T
6	28	433	T
6	29	297	T
6	30	288	T
7	1	379	T
7	2	361	T
7	3	343	T
7	4	435	T
7	5	331	T
7	6	449	T
7	7	266	T
7	8	475	T
7	9	431	T
7	10	401	T
7	11	322	T
7	12	456	T
7	13	323	T
7	14	397	T
7	15	437	T
7	16	413	T
7	17	355	F
7	18	329	T
7	19	548	T
7	20	320	T
7	21	521	T
7	22	271	T
7	23	383	T
7	24	302	T
7	25	302	T
7	26	381	T
7	27	389	T
7	28	431	T
7	29	374	T
7	30	416	T
8	1	419	T
8	2	742	T
8	3	318	T
8	4	364	T
8	5	368	T
8	6	380	T
8	7	367	T
8	8	325	T
8	9	403	T
8	10	378	T
8	11	333	T
8	12	326	T
8	13	365	T
8	14	350	T
8	15	302	T
8	16	348	T
8	17	453	T
8	18	328	T
8	19	433	T
8	20	493	T
8	21	312	F
8	22	284	T
8	23	316	T
8	24	338	T
8	25	418	T
8	26	344	F
8	27	237	T
8	28	450	T
8	29	326	T
8	30	308	T
9	1	581	T
9	2	468	T
9	3	485	T
9	4	258	T
9	5	321	T
9	6	308	T
9	7	354	T
9	8	331	T
9	9	235	T
9	10	382	T
9	11	390	T
9	12	342	T
9	13	319	T
9	14	352	T
9	15	378	T
9	16	304	F
9	17	417	T
9	18	474	T
9	19	358	T
9	20	361	T
9	21	470	T
9	22	333	T
9	23	328	T
9	24	407	T
9	25	395	T
9	26	488	T
9	27	318	T
9	28	311	T
9	29	329	T
9	30	343	T
10	1	307	F
10	2	348	T
10	3	356	T
10	4	382	T
10	5	360	T
10	6	314	T
10	7	319	T
10	8	314	T
10	9	363	T
10	10	444	T
10	11	371	T
10	12	350	T
10	13	436	T
10	14	483	T
10	15	336	T
10	16	471	T
10	17	363	T
10	18	337	T
10	19	417	T
10	20	361	T
10	21	334	T
10	22	361	T
10	23	248	T
10	24	351	T
10	25	333	T
10	26	260	T
10	27	500	T
10	28	420	T
10	29	450	T
10	30	323	T
11	1	356	T
11	2	389	T
11	3	305	T
11	4	325	T
11	5	371	T
11	6	318	T
11	7	309	T
11	8	339	T
11	9	267	F
11	10	292	T
11	11	339	T
11	12	369	T
11	13	358	T
11	14	368	T
11	15	307	T
11	16	324	T
11	17	327	T
11	18	363	T
11	19	411	T
11	20	303	T
11	21	377	T
11	22	333	T
11	23	390	F
11	24	402	T
11	25	280	T
11	26	351	T
11	27	336	T
11	28	352	T
11	29	358	T
11	30	324	T
12	1	386	T
12	2	358	F
12	3	338	T
12	4	381	T
12	5	510	T
12	6	330	T
12	7	300	T
12	8	365	T
12	9	407	T
12	10	480	T
12	11	451	T
12	12	371	T
12	13	315	T
12	14	519	F
12	15	358	T
12	16	526	T
12	17	344	T
12	18	325	T
12	19	503	T
12	20	274	T
12	21	277	T
12	22	489	T
12	23	313	T
12	24	319	T
12	25	446	T
12	26	425	T
12	27	292	T
12	28	366	T
12	29	262	T
12	30	376	T
13	1	315	T
13	2	321	F
13	3	379	T
13	4	347	T
13	5	355	T
13	6	455	T
13	7	488	T
13	8	342	T
13	9	445	T
13	10	297	T
13	11	284	T
13	12	351	T
13	13	455	T
13	14	423	T
13	15	378	T
13	16	464	T
13	17	330	T
13	18	461	T
13	19	315	T
13	20	318	T
13	21	414	T
13	22	332	T
13	23	305	T
13	24	332	T
13	25	311	T
13	26	585	T
13	27	340	T
13	28	439	T
13	29	281	T
13	30	434	T
14	1	290	T
14	2	395	T
14	3	314	F
14	4	405	T
14	5	338	T
14	6	441	T
14	7	298	T
14	8	339	T
14	9	356	T
14	10	356	T
14	11	336	T
14	12	322	T
14	13	316	T
14	14	308	T
14	15	301	T
14	16	392	T
14	17	326	F
14	18	360	T
14	19	358	T
14	20	375	T
14	21	300	T
14	22	338	T
14	23	289	T
14	24	315	T
14	25	313	T
14	26	397	T
14	27	373	T
14	28	671	T
14	29	307	T
14	30	453	T
15	1	423	T
15	2	344	T
15	3	378	T
15	4	312	T
15	5	374	T
15	6	364	T
15	7	332	T
15	8	253	T
15	9	491	T
15	10	387	T
15	11	688	T
15	12	317	T
15	13	469	T
15	14	306	T
15	15	274	T
15	16	389	T
15	17	279	T
15	18	489	T
15	19	317	F
15	20	331	T
15	21	327	T
15	22	307	T
15	23	311	F
15	24	362	T
15	25	524	T
15	26	337	T
15	27	334	T
15	28	279	T
15	29	432	T
15	30	298	T
16	1	296	T
16	2	484	T
16	3	490	T
16	4	333	T
16	5	444	T
16	6	365	T
16	7	409	T
16	8	317	T
16	9	292	T
16	10	322	T
16	11	443	T
16	12	325	T
16	13	357	F
16	14	412	T
16	15	352	T
16	16	279	T
16	17	319	T
16	18	306	T
16	19	464	T
16	20	556	T
16	21	251	T
16	22	392	T
16	23	234	F
16	24	304	T
16	25	316	T
16	26	465	T
16	27	415	T
16	28	297	T
16	29	317	T
16	30	415	T
17	1	340	T
17	2	322	T
17	3	346	T
17	4	419	T
17	5	348	T
17	6	291	T
17	7	430	T
17	8	367	T
17	9	314	T
17	10	367	T
17	11	306	T
17	12	342	T
17	13	333	T
17	14	428	T
17	15	424	T
17	16	347	T
17	17	378	T
17	18	299	T
17	19	329	T
17	20	564	T
17	21	399	T
17	22	516	T
17	23	410	T
17	24	327	T
17	25	358	T
17	26	524	T
17	27	297	T
17	28	439	F
17	29	269	T
17	30	312	T
18	1	500	T
18	2	555	T
18	3	324	T
18	4	355	T
18	5	345	T
18	6	278	T
18	7	320	T
18	8	290	T
18	9	307	T
18	10	296	T
18	11	449	T
18	12	458	T
18	13	329	F
18	14	359	T
18	15	324	T
18	16	482	T
18	17	339	T
18	18	387	T
18	19	416	T
18	20	413	T
18	21	396	T
18	22	322	T
18	23	355	T
18	24	467	T
18	25	610	T
18	26	365	F
18	27	364	T
