NAME: 	Arina_4day_lhand
Completed cycles:	37
Failed cycles:	1
Cycle	Trial	RT	Accuracy
1	1	489	T
1	2	216	T
1	3	145	F
1	4	318	T
1	5	208	T
1	6	246	T
1	7	316	T
1	8	189	T
1	9	208	T
1	10	293	T
1	11	234	T
1	12	282	T
1	13	256	F
1	14	327	T
1	15	261	T
1	16	191	F
1	17	358	T
1	18	238	T
1	19	296	T
1	20	224	T
1	21	255	T
1	22	235	T
1	23	302	T
1	24	444	T
1	25	464	T
1	26	319	T
1	27	228	T
1	28	227	T
1	29	215	T
1	30	315	T
2	1	282	F
2	2	272	T
2	3	215	T
2	4	245	T
2	5	246	F
2	6	286	T
2	7	316	T
2	8	334	T
2	9	224	T
2	10	400	T
2	11	323	T
2	12	215	T
2	13	248	T
2	14	275	T
2	15	274	T
2	16	260	T
2	17	247	T
2	18	242	T
2	19	298	T
2	20	232	T
2	21	316	T
2	22	301	T
2	23	349	T
2	24	334	T
2	25	226	T
2	26	283	T
2	27	235	T
2	28	313	T
2	29	261	T
2	30	283	T
3	1	236	T
3	2	377	T
3	3	351	T
3	4	297	T
3	5	250	T
3	6	278	T
3	7	338	T
3	8	254	T
3	9	316	T
3	10	231	T
3	11	242	T
3	12	252	T
3	13	240	T
3	14	328	T
3	15	314	T
3	16	278	T
3	17	339	T
3	18	254	T
3	19	230	T
3	20	244	T
3	21	240	T
3	22	274	T
3	23	261	T
3	24	267	T
3	25	250	T
3	26	317	T
3	27	295	T
3	28	230	T
3	29	256	T
3	30	306	T
4	1	256	T
4	2	290	T
4	3	236	T
4	4	187	T
4	5	257	T
4	6	339	T
4	7	333	T
4	8	252	T
4	9	318	T
4	10	346	T
4	11	240	T
4	12	356	T
4	13	216	T
4	14	240	T
4	15	283	T
4	16	239	T
4	17	426	T
4	18	230	T
4	19	228	T
4	20	245	T
4	21	222	F
4	22	323	T
4	23	203	T
4	24	227	T
4	25	282	T
4	26	314	T
4	27	300	T
4	28	285	T
4	29	321	T
4	30	303	T
5	1	239	T
5	2	323	F
5	3	244	T
5	4	248	T
5	5	236	T
5	6	233	T
5	7	329	T
5	8	220	T
5	9	231	T
5	10	251	T
5	11	326	T
5	12	218	T
5	13	242	T
5	14	316	T
5	15	363	F
5	16	271	T
5	17	377	T
5	18	421	T
5	19	228	T
5	20	562	T
5	21	346	T
5	22	231	T
5	23	237	T
5	24	291	T
5	25	249	T
5	26	249	T
5	27	312	T
5	28	224	T
5	29	269	T
5	30	212	T
6	1	240	T
6	2	219	T
6	3	287	T
6	4	327	T
6	5	301	T
6	6	330	T
6	7	226	T
6	8	242	T
6	9	307	T
6	10	313	T
6	11	200	T
6	12	251	T
6	13	243	T
6	14	272	T
6	15	333	T
6	16	275	T
6	17	240	T
6	18	236	T
6	19	329	T
6	20	316	T
6	21	319	T
6	22	320	T
6	23	339	T
6	24	303	T
6	25	352	T
6	26	256	T
6	27	294	T
6	28	277	T
6	29	325	T
6	30	231	T
7	1	310	F
7	2	336	T
7	3	347	T
7	4	265	T
7	5	250	T
7	6	285	T
7	7	340	T
7	8	256	T
7	9	245	T
7	10	318	T
7	11	209	T
7	12	251	T
7	13	250	T
7	14	250	T
7	15	330	T
7	16	200	T
7	17	413	T
7	18	320	T
7	19	209	T
7	20	244	T
7	21	405	T
7	22	304	T
7	23	317	T
7	24	358	T
7	25	214	T
7	26	330	T
7	27	322	T
7	28	236	T
7	29	328	T
7	30	279	T
8	1	335	T
8	2	312	T
8	3	295	T
8	4	357	T
8	5	394	T
8	6	222	T
8	7	231	T
8	8	232	T
8	9	328	T
8	10	358	T
8	11	313	T
8	12	257	T
8	13	322	T
8	14	333	T
8	15	243	T
8	16	350	T
8	17	260	T
8	18	311	T
8	19	241	T
8	20	238	T
8	21	337	T
8	22	365	T
8	23	221	T
