NAME: 	Ayaal_1day_rhand
Completed cycles:	35
Failed cycles:	1
Cycle	Trial	RT	Accuracy
1	1	695	T
1	2	255	T
1	3	284	T
1	4	369	T
1	5	345	T
1	6	351	T
1	7	186	T
1	8	210	T
1	9	314	T
1	10	258	T
1	11	328	T
1	12	278	T
1	13	175	F
1	14	260	T
1	15	221	T
1	16	318	T
1	17	267	T
1	18	206	T
1	19	330	T
1	20	326	T
1	21	302	T
1	22	285	T
1	23	367	T
1	24	360	T
1	25	333	T
1	26	348	T
1	27	324	T
1	28	364	T
1	29	311	T
1	30	276	T
2	1	214	F
2	2	327	T
2	3	232	T
2	4	253	T
2	5	307	T
2	6	357	T
2	7	268	T
2	8	268	T
2	9	293	T
2	10	299	T
2	11	244	T
2	12	261	T
2	13	323	T
2	14	269	T
2	15	334	T
2	16	265	T
2	17	328	T
2	18	323	T
2	19	366	T
2	20	297	T
2	21	318	T
2	22	290	T
2	23	289	T
2	24	270	T
2	25	287	T
2	26	255	T
2	27	246	T
2	28	413	T
2	29	322	T
2	30	244	T
3	1	336	T
3	2	280	T
3	3	295	T
3	4	271	T
3	5	320	T
3	6	324	T
3	7	335	T
3	8	301	T
3	9	322	T
3	10	334	T
3	11	319	T
3	12	251	T
3	13	314	T
3	14	282	T
3	15	266	T
3	16	314	T
3	17	375	T
3	18	264	T
3	19	258	T
3	20	283	T
3	21	241	T
3	22	313	T
3	23	259	T
3	24	410	T
3	25	339	T
3	26	213	T
3	27	266	T
3	28	354	T
3	29	339	T
3	30	231	T
4	1	298	T
4	2	260	T
4	3	387	T
4	4	246	T
4	5	250	T
4	6	359	T
4	7	280	T
4	8	300	F
4	9	232	T
4	10	338	T
4	11	270	T
4	12	409	T
4	13	328	T
4	14	335	T
4	15	367	T
4	16	320	T
4	17	239	T
4	18	207	T
4	19	414	T
4	20	327	T
4	21	272	T
4	22	238	T
4	23	256	T
4	24	425	T
4	25	287	T
4	26	217	T
4	27	291	T
4	28	270	T
4	29	355	T
4	30	249	T
5	1	366	T
5	2	320	F
5	3	274	T
5	4	447	T
5	5	285	T
5	6	228	T
5	7	315	T
5	8	209	T
5	9	246	T
5	10	271	T
5	11	265	T
5	12	349	F
5	13	389	T
5	14	374	T
5	15	267	T
5	16	391	T
5	17	356	T
5	18	300	T
5	19	322	T
5	20	245	T
5	21	308	T
5	22	322	T
5	23	356	T
5	24	322	T
5	25	354	T
5	26	257	T
5	27	339	T
5	28	243	T
5	29	222	T
5	30	480	T
6	1	365	T
6	2	394	T
6	3	364	T
6	4	351	T
6	5	277	T
6	6	339	T
6	7	328	T
6	8	294	T
6	9	257	T
6	10	295	T
6	11	390	T
6	12	274	T
6	13	372	T
6	14	214	T
6	15	276	T
6	16	245	T
6	17	275	T
6	18	371	T
6	19	272	T
6	20	324	T
6	21	325	T
6	22	247	T
6	23	363	T
6	24	309	T
6	25	257	T
6	26	372	T
6	27	348	T
6	28	276	T
6	29	357	T
6	30	299	T
7	1	255	T
7	2	363	T
7	3	382	T
7	4	323	T
7	5	289	T
7	6	254	T
