NAME: 	Ayaal_4day_lhand
Completed cycles:	36
Failed cycles:	1
Cycle	Trial	RT	Accuracy
1	1	688	T
1	2	304	T
1	3	353	T
1	4	285	T
1	5	344	T
1	6	240	T
1	7	342	T
1	8	274	F
1	9	227	T
1	10	286	T
1	11	265	T
1	12	255	T
1	13	285	T
1	14	328	T
1	15	318	T
1	16	253	T
1	17	328	T
1	18	214	F
1	19	247	T
1	20	311	T
1	21	264	T
1	22	294	T
1	23	264	T
1	24	329	T
1	25	336	T
1	26	305	T
1	27	287	T
1	28	359	T
1	29	258	T
1	30	263	T
2	1	276	T
2	2	281	T
2	3	270	T
2	4	334	T
2	5	247	T
2	6	297	T
2	7	280	T
2	8	315	T
2	9	290	T
2	10	327	T
2	11	337	T
2	12	300	F
2	13	297	T
2	14	276	T
2	15	311	T
2	16	335	T
2	17	307	T
2	18	265	T
2	19	343	T
2	20	290	T
2	21	288	T
2	22	307	T
2	23	275	T
2	24	315	T
2	25	342	T
2	26	345	T
2	27	286	T
2	28	277	T
2	29	401	T
2	30	341	T
3	1	373	T
3	2	327	T
3	3	303	T
3	4	272	T
3	5	297	T
3	6	373	T
3	7	399	T
3	8	260	T
3	9	391	T
3	10	261	T
3	11	343	T
3	12	294	T
3	13	299	T
3	14	313	T
3	15	305	T
3	16	311	T
3	17	330	T
3	18	281	T
3	19	257	T
3	20	290	T
3	21	303	T
3	22	280	T
3	23	246	T
3	24	306	T
3	25	226	T
3	26	273	T
3	27	220	T
3	28	217	T
3	29	233	T
3	30	217	T
4	1	308	T
4	2	330	T
4	3	325	T
4	4	319	T
4	5	297	T
4	6	305	T
4	7	295	T
4	8	281	T
4	9	313	T
4	10	343	T
4	11	352	T
4	12	306	T
4	13	286	T
4	14	280	T
4	15	271	T
4	16	304	T
4	17	251	T
4	18	327	T
4	19	276	T
4	20	278	T
4	21	335	T
4	22	269	T
4	23	292	T
4	24	324	T
4	25	335	T
4	26	278	T
4	27	263	T
4	28	293	T
4	29	276	F
4	30	285	F
5	1	307	T
5	2	310	T
5	3	275	T
5	4	243	T
5	5	301	T
5	6	423	T
5	7	334	T
5	8	306	T
5	9	312	T
5	10	352	T
5	11	286	T
5	12	958	T
5	13	245	T
5	14	374	T
5	15	303	T
5	16	191	T
5	17	391	T
5	18	407	T
5	19	294	T
5	20	294	T
5	21	287	T
5	22	292	T
5	23	321	T
5	24	343	T
5	25	255	T
5	26	310	T
5	27	411	T
5	28	230	T
5	29	263	T
5	30	289	T
6	1	203	T
6	2	190	T
6	3	277	T
6	4	326	T
6	5	267	T
6	6	304	T
6	7	269	T
6	8	268	T
6	9	294	T
6	10	339	T
6	11	425	T
6	12	410	T
6	13	332	T
6	14	298	T
6	15	374	T
6	16	355	T
6	17	375	T
6	18	330	T
6	19	299	T
6	20	251	T
6	21	281	T
6	22	336	T
6	23	378	T
6	24	280	T
6	25	250	T
6	26	267	F
6	27	374	T
6	28	313	T
6	29	865	T
6	30	409	T
7	1	339	T
7	2	239	T
7	3	337	T
7	4	318	T
7	5	371	T
7	6	276	T
7	7	474	T
7	8	319	T
7	9	303	T
7	10	310	T
7	11	230	T
7	12	299	T
7	13	229	T
7	14	403	T
7	15	289	T
7	16	352	T
7	17	316	T
7	18	294	T
7	19	261	T
7	20	355	T
7	21	317	T
7	22	361	T
7	23	315	T
7	24	246	T
7	25	256	T
7	26	334	T
7	27	342	T
7	28	317	T
7	29	305	T
7	30	318	T
8	1	318	T
8	2	289	T
8	3	380	T
