NAME: 	Egor_1day_rhand
Completed cycles:	33
Failed cycles:	1
1	1	890
1	2	412
1	3	309
1	4	431
1	5	329
1	6	303
1	7	287
1	8	400
1	9	400
1	10	369
1	11	419
1	12	400
1	13	1116
1	14	390
1	15	503
1	16	355
1	17	421
1	18	393
1	19	401
1	20	339
1	21	371
1	22	396
1	23	599
1	24	422
1	25	363
1	26	375
1	27	391
1	28	390
1	29	420
1	30	390
2	1	510
2	2	443
2	3	476
2	4	419
2	5	327
2	6	383
2	7	384
2	8	474
2	9	392
2	10	472
2	11	442
2	12	471
2	13	366
2	14	316
2	15	376
2	16	352
2	17	457
2	18	395
2	19	334
2	20	393
2	21	434
2	22	454
2	23	385
2	24	379
2	25	345
2	26	470
2	27	493
2	28	468
2	29	444
2	30	493
3	1	416
3	2	447
3	3	378
3	4	315
3	5	394
3	6	373
3	7	376
3	8	355
3	9	399
3	10	399
3	11	334
3	12	411
3	13	378
3	14	395
3	15	385
3	16	372
3	17	379
3	18	427
3	19	522
3	20	496
3	21	523
3	22	568
3	23	384
3	24	340
3	25	561
3	26	422
3	27	375
3	28	337
3	29	401
3	30	365
4	1	408
4	2	431
4	3	385
4	4	369
4	5	387
4	6	410
4	7	409
4	8	428
4	9	392
4	10	367
4	11	416
4	12	441
4	13	355
4	14	377
4	15	414
4	16	339
4	17	523
4	18	385
4	19	394
4	20	383
4	21	396
4	22	379
4	23	526
4	24	447
4	25	343
4	26	373
4	27	401
4	28	273
4	29	362
4	30	337
5	1	307
5	2	322
5	3	290
5	4	373
5	5	405
5	6	334
5	7	380
5	8	263
5	9	328
5	10	299
5	11	345
5	12	391
5	13	663
5	14	553
5	15	329
5	16	378
5	17	401
5	18	351
5	19	333
5	20	340
5	21	416
5	22	383
5	23	381
5	24	327
5	25	429
5	26	384
5	27	394
5	28	454
5	29	396
5	30	347
6	1	417
6	2	374
6	3	489
6	4	750
6	5	385
6	6	395
6	7	348
6	8	382
6	9	427
6	10	399
6	11	450
6	12	370
6	13	434
6	14	375
6	15	479
6	16	401
6	17	664
6	18	421
6	19	378
6	20	438
6	21	392
6	22	460
6	23	368
6	24	334
6	25	385
6	26	366
6	27	350
6	28	303
6	29	327
6	30	346
7	1	328
7	2	386
7	3	391
7	4	251
7	5	331
7	6	308
7	7	361
7	8	271
7	9	386
7	10	365
7	11	379
7	12	311
7	13	284
7	14	365
7	15	367
7	16	255
7	17	322
7	18	338
7	19	363
7	20	506
7	21	521
7	22	459
7	23	310
7	24	344
7	25	370
7	26	373
7	27	371
7	28	526
7	29	423
7	30	363
8	1	400
8	2	310
8	3	295
8	4	407
8	5	387
8	6	414
8	7	355
8	8	322
8	9	478
8	10	395
8	11	313
8	12	343
8	13	332
8	14	442
8	15	295
8	16	298
8	17	350
8	18	338
8	19	402
8	20	410
8	21	348
8	22	367
8	23	345
8	24	379
8	25	369
8	26	457
8	27	351
8	28	309
8	29	343
8	30	402
9	1	491
9	2	346
9	3	419
9	4	458
9	5	268
9	6	350
9	7	366
9	8	276
9	9	305
9	10	435
9	11	273
9	12	365
9	13	359
9	14	271
9	15	320
9	16	332
9	17	350
9	18	374
9	19	421
9	20	603
9	21	403
9	22	378
9	23	455
9	24	358
9	25	517
9	26	505
9	27	376
9	28	370
9	29	289
9	30	248
10	1	285
10	2	294
10	3	252
10	4	302
10	5	236
10	6	302
10	7	419
10	8	272
10	9	292
10	10	348
10	11	266
10	12	314
10	13	310
10	14	435
10	15	219
10	16	285
10	17	334
10	18	285
10	19	317
10	20	452
10	21	423
10	22	242
10	23	313
10	24	406
10	25	385
10	26	390
10	27	280
10	28	290
10	29	227
10	30	355
11	1	458
11	2	397
11	3	262
11	4	356
11	5	450
11	6	419
11	7	238
11	8	245
11	9	400
11	10	364
11	11	442
11	12	390
11	13	350
11	14	249
11	15	344
11	16	342
11	17	263
11	18	256
11	19	233
11	20	321
11	21	255
11	22	349
11	23	363
11	24	397
11	25	402
11	26	471
11	27	429
11	28	252
11	29	374
11	30	492
12	1	273
12	2	377
12	3	357
12	4	289
12	5	215
12	6	323
12	7	444
12	8	398
12	9	324
12	10	305
12	11	285
12	12	399
12	13	229
12	14	288
12	15	348
12	16	300
12	17	334
12	18	345
12	19	388
12	20	314
12	21	366
12	22	359
12	23	236
12	24	320
12	25	221
12	26	349
12	27	244
12	28	522
12	29	251
12	30	441
13	1	317
13	2	333
13	3	377
13	4	339
13	5	333
13	6	585
13	7	628
13	8	359
13	9	352
13	10	218
13	11	641
13	12	387
13	13	379
13	14	301
13	15	401
13	16	377
13	17	456
13	18	290
13	19	336
13	20	355
13	21	257
13	22	263
13	23	248
13	24	305
13	25	377
13	26	428
13	27	276
13	28	340
13	29	317
13	30	436
14	1	432
14	2	399
14	3	473
14	4	367
14	5	581
14	6	543
14	7	328
14	8	315
14	9	313
14	10	312
14	11	392
14	12	231
14	13	330
14	14	296
14	15	318
14	16	263
14	17	274
14	18	328
14	19	387
14	20	339
14	21	236
14	22	349
14	23	320
14	24	417
14	25	370
14	26	350
14	27	428
14	28	507
14	29	266
14	30	458
15	1	639
15	2	401
15	3	411
15	4	227
15	5	258
15	6	293
15	7	386
15	8	492
15	9	263
15	10	345
15	11	434
15	12	239
15	13	335
15	14	501
15	15	349
15	16	360
15	17	344
15	18	394
15	19	284
15	20	380
15	21	400
15	22	244
15	23	298
15	24	505
15	25	381
15	26	317
15	27	522
15	28	693
15	29	372
15	30	455
16	1	515
16	2	349
16	3	306
16	4	417
16	5	413
16	6	440
16	7	278
16	8	348
16	9	420
16	10	390
16	11	332
16	12	374
16	13	396
16	14	464
16	15	279
16	16	514
16	17	380
