NAME: 	Egor_3day_lhand
Completed cycles:	35
Failed cycles:	1
1	1	730
1	2	300
1	3	309
1	4	278
1	5	290
1	6	215
1	7	321
1	8	382
1	9	338
1	10	343
1	11	256
1	12	328
1	13	283
1	14	262
1	15	330
1	16	227
1	17	324
1	18	423
1	19	325
1	20	225
1	21	304
1	22	294
1	23	256
1	24	349
1	25	313
1	26	466
1	27	335
1	28	339
1	29	239
1	30	404
2	1	373
2	2	232
2	3	353
2	4	244
2	5	251
2	6	315
2	7	267
2	8	292
2	9	280
2	10	271
2	11	332
2	12	341
2	13	298
2	14	283
2	15	249
2	16	293
2	17	305
2	18	298
2	19	256
2	20	280
2	21	410
2	22	300
2	23	341
2	24	288
2	25	293
2	26	228
2	27	262
2	28	429
2	29	416
2	30	335
3	1	370
3	2	415
3	3	231
3	4	242
3	5	384
3	6	226
3	7	236
3	8	243
3	9	335
3	10	291
3	11	331
3	12	252
3	13	262
3	14	237
3	15	260
3	16	380
3	17	392
3	18	356
3	19	397
3	20	394
3	21	284
3	22	291
3	23	228
3	24	300
3	25	179
3	26	279
3	27	263
3	28	321
3	29	434
3	30	224
4	1	236
4	2	314
4	3	303
4	4	405
4	5	276
4	6	401
4	7	443
4	8	386
4	9	344
4	10	244
4	11	357
4	12	195
4	13	370
4	14	237
4	15	197
4	16	264
4	17	346
4	18	256
4	19	308
4	20	228
4	21	291
4	22	248
4	23	393
4	24	251
4	25	256
4	26	258
4	27	236
4	28	233
4	29	215
4	30	240
5	1	414
5	2	338
5	3	238
5	4	312
5	5	249
5	6	216
5	7	377
5	8	350
5	9	284
5	10	341
5	11	260
5	12	259
5	13	267
5	14	391
5	15	318
5	16	318
5	17	183
5	18	244
5	19	358
5	20	302
5	21	279
5	22	246
5	23	248
5	24	228
5	25	356
5	26	419
5	27	318
5	28	443
5	29	338
5	30	229
6	1	331
6	2	216
6	3	372
6	4	375
6	5	362
6	6	391
6	7	393
6	8	382
6	9	263
6	10	327
6	11	335
6	12	237
6	13	233
6	14	369
6	15	380
6	16	244
6	17	245
6	18	241
6	19	258
6	20	573
6	21	328
6	22	256
6	23	404
6	24	219
6	25	295
6	26	253
6	27	451
6	28	385
6	29	351
6	30	356
7	1	327
7	2	335
7	3	219
7	4	336
7	5	379
7	6	415
7	7	356
7	8	335
7	9	362
7	10	264
7	11	289
7	12	505
7	13	514
7	14	366
7	15	321
7	16	271
7	17	274
7	18	334
7	19	525
7	20	485
7	21	451
7	22	361
7	23	10
7	24	397
7	25	463
7	26	428
7	27	403
7	28	268
7	29	357
7	30	363
8	1	334
8	2	307
8	3	283
8	4	387
8	5	223
8	6	275
8	7	218
8	8	306
8	9	364
8	10	258
8	11	328
8	12	286
8	13	291
8	14	520
8	15	287
8	16	292
8	17	340
8	18	254
8	19	250
8	20	71
8	21	489
8	22	265
8	23	259
8	24	251
8	25	382
8	26	299
8	27	347
8	28	297
8	29	265
8	30	272
9	1	271
9	2	259
9	3	338
9	4	233
9	5	272
9	6	278
9	7	378
9	8	289
9	9	447
9	10	408
9	11	354
9	12	224
9	13	411
9	14	295
9	15	401
9	16	259
9	17	306
9	18	438
9	19	616
9	20	331
9	21	266
9	22	373
9	23	201
9	24	319
9	25	208
9	26	339
9	27	347
9	28	242
9	29	247
9	30	394
10	1	454
10	2	225
10	3	407
10	4	588
10	5	206
10	6	374
10	7	273
10	8	326
10	9	284
10	10	323
10	11	215
10	12	239
10	13	316
10	14	259
10	15	308
10	16	353
10	17	193
10	18	317
10	19	455
10	20	323
10	21	203
10	22	252
10	23	258
10	24	365
10	25	474
10	26	291
10	27	342
10	28	356
10	29	260
10	30	255
11	1	314
11	2	245
11	3	291
11	4	332
11	5	456
11	6	296
11	7	317
11	8	435
11	9	246
11	10	362
11	11	400
11	12	461
11	13	243
11	14	233
11	15	329
11	16	248
11	17	422
