NAME: 	ElenaVo_2day_lhand
Completed cycles:	39
Failed cycles:	1
Cycle	Trial	RT	Accuracy
1	1	691	T
1	2	335	T
1	3	260	T
1	4	296	T
1	5	309	T
1	6	229	T
1	7	261	T
1	8	282	T
1	9	236	T
1	10	241	T
1	11	269	T
1	12	273	T
1	13	222	F
1	14	261	T
1	15	251	T
1	16	249	T
1	17	214	T
1	18	274	T
1	19	244	T
1	20	281	T
1	21	275	T
1	22	287	T
1	23	383	T
1	24	289	T
1	25	293	T
1	26	249	T
1	27	235	T
1	28	249	T
1	29	306	T
1	30	225	T
2	1	304	T
2	2	292	T
2	3	363	T
2	4	235	F
2	5	314	T
2	6	286	T
2	7	275	T
2	8	307	T
2	9	301	T
2	10	193	T
2	11	301	T
2	12	235	T
2	13	233	T
2	14	226	T
2	15	344	T
2	16	376	T
2	17	298	T
2	18	263	T
2	19	230	T
2	20	261	T
2	21	345	T
2	22	273	T
2	23	280	T
2	24	295	T
2	25	286	T
2	26	246	T
2	27	261	T
2	28	242	T
2	29	309	T
2	30	226	T
3	1	338	T
3	2	240	T
3	3	284	T
3	4	256	T
3	5	314	T
3	6	289	T
3	7	273	T
3	8	308	T
3	9	238	T
3	10	250	T
3	11	226	T
3	12	232	T
3	13	251	T
3	14	254	T
3	15	201	T
3	16	225	T
3	17	256	T
3	18	261	T
3	19	279	T
3	20	248	T
3	21	309	T
3	22	286	T
3	23	243	T
3	24	237	T
3	25	237	T
3	26	232	T
3	27	275	T
3	28	289	T
3	29	225	T
3	30	273	T
4	1	351	T
4	2	293	T
4	3	292	T
4	4	279	T
4	5	290	T
4	6	283	T
4	7	309	T
4	8	241	T
4	9	217	T
4	10	246	T
4	11	289	T
4	12	325	T
4	13	339	T
4	14	187	T
4	15	275	T
4	16	208	T
4	17	284	T
4	18	248	T
4	19	269	T
4	20	255	T
4	21	226	T
4	22	337	T
4	23	251	T
4	24	258	T
4	25	228	T
4	26	260	T
4	27	395	T
4	28	249	T
4	29	317	T
4	30	242	T
5	1	448	T
5	2	227	T
5	3	374	T
5	4	259	T
5	5	267	T
5	6	307	T
5	7	264	T
5	8	238	T
5	9	248	T
5	10	213	T
5	11	243	T
5	12	205	T
5	13	230	T
5	14	285	T
5	15	305	T
5	16	215	T
5	17	356	T
5	18	193	T
5	19	271	T
5	20	253	T
5	21	255	T
5	22	265	T
5	23	310	T
5	24	328	T
5	25	231	T
5	26	219	T
5	27	262	T
5	28	225	T
5	29	241	T
5	30	292	T
6	1	213	T
6	2	287	T
6	3	324	T
6	4	208	T
6	5	316	T
6	6	264	T
6	7	191	T
6	8	265	T
6	9	409	T
6	10	213	T
6	11	288	T
6	12	281	T
6	13	250	T
6	14	287	T
6	15	301	T
6	16	258	T
6	17	269	T
6	18	268	T
6	19	271	T
6	20	396	T
6	21	292	T
6	22	220	T
6	23	260	T
6	24	234	T
6	25	262	T
6	26	217	T
6	27	372	T
6	28	212	T
6	29	228	T
6	30	267	T
7	1	285	T
7	2	281	T
7	3	224	F
7	4	231	T
7	5	259	T
7	6	361	T
7	7	335	T
7	8	216	T
7	9	283	T
7	10	188	T
7	11	279	T
7	12	327	T
7	13	255	T
7	14	261	T
7	15	314	T
7	16	311	T
7	17	221	T
7	18	239	T
7	19	348	T
7	20	342	T
7	21	194	T
7	22	347	T
7	23	240	T
7	24	315	T
7	25	302	T
7	26	225	T
7	27	240	T
7	28	392	T
7	29	262	T
7	30	216	T
8	1	223	T
8	2	232	T
8	3	271	T
8	4	276	T
8	5	263	T
8	6	263	T
8	7	310	T
8	8	323	T
8	9	307	T
8	10	237	T
8	11	345	T
8	12	342	T
