NAME: 	ElenaVo_4day_rhand
Completed cycles:	39
Failed cycles:	1
Cycle	Trial	RT	Accuracy
1	1	538	T
1	2	351	T
1	3	250	T
1	4	209	T
1	5	222	T
1	6	279	T
1	7	213	F
1	8	288	T
1	9	216	T
1	10	276	T
1	11	263	T
1	12	286	T
1	13	269	T
1	14	267	T
1	15	230	T
1	16	241	T
1	17	230	T
1	18	206	T
1	19	231	T
1	20	225	T
1	21	205	T
1	22	312	T
1	23	250	T
1	24	232	T
1	25	291	F
1	26	287	T
1	27	210	T
1	28	259	T
1	29	204	T
1	30	293	T
2	1	273	T
2	2	414	T
2	3	280	T
2	4	250	T
2	5	275	T
2	6	237	T
2	7	271	T
2	8	425	T
2	9	338	T
2	10	204	T
2	11	242	T
2	12	238	T
2	13	222	T
2	14	209	T
2	15	255	T
2	16	288	T
2	17	187	T
2	18	266	T
2	19	181	F
2	20	389	T
2	21	222	T
2	22	252	T
2	23	213	T
2	24	254	T
2	25	282	T
2	26	236	T
2	27	247	T
2	28	293	T
2	29	644	T
2	30	253	T
3	1	289	T
3	2	318	T
3	3	228	T
3	4	286	T
3	5	366	T
3	6	257	T
3	7	256	T
3	8	276	T
3	9	237	T
3	10	275	T
3	11	351	T
3	12	222	T
3	13	352	T
3	14	213	T
3	15	241	T
3	16	250	T
3	17	219	T
3	18	270	T
3	19	373	T
3	20	319	T
3	21	319	T
3	22	239	T
3	23	284	T
3	24	247	T
3	25	287	T
3	26	406	T
3	27	242	T
3	28	264	T
3	29	220	T
3	30	219	T
4	1	208	T
4	2	314	T
4	3	210	T
4	4	261	T
4	5	224	T
4	6	283	T
4	7	403	T
4	8	296	T
4	9	307	T
4	10	219	T
4	11	249	T
4	12	431	T
4	13	265	T
4	14	191	T
4	15	289	T
4	16	240	T
4	17	263	T
4	18	386	T
4	19	301	T
4	20	308	T
4	21	277	T
4	22	215	T
4	23	248	T
4	24	239	T
4	25	371	T
4	26	209	T
4	27	203	T
4	28	325	T
4	29	260	T
4	30	223	T
5	1	233	T
5	2	287	T
5	3	323	F
5	4	304	T
5	5	253	F
5	6	196	T
5	7	341	T
5	8	278	T
5	9	405	F
5	10	252	T
5	11	208	T
5	12	253	T
5	13	214	T
5	14	288	T
5	15	191	T
5	16	372	T
5	17	277	T
5	18	221	T
5	19	201	T
5	20	235	T
5	21	310	T
5	22	209	T
5	23	254	T
5	24	235	T
5	25	284	T
5	26	218	T
5	27	265	T
5	28	254	T
5	29	333	T
5	30	229	T
6	1	413	T
6	2	322	T
6	3	212	T
6	4	245	T
6	5	326	T
6	6	231	T
6	7	241	T
6	8	260	T
6	9	220	T
6	10	493	T
6	11	343	T
6	12	230	T
6	13	220	T
6	14	319	T
6	15	284	T
6	16	373	T
6	17	226	T
6	18	300	T
6	19	235	T
6	20	396	T
6	21	358	T
6	22	288	T
6	23	322	T
6	24	207	T
6	25	197	T
6	26	214	T
6	27	260	T
6	28	367	T
6	29	187	T
6	30	334	T
7	1	210	F
7	2	287	T
7	3	275	T
7	4	359	T
7	5	252	T
7	6	248	T
7	7	233	T
7	8	278	T
7	9	295	T
7	10	318	T
7	11	211	T
7	12	369	T
7	13	343	T
7	14	233	T
7	15	246	T
7	16	245	T
7	17	236	T
7	18	228	T
7	19	199	F
7	20	251	T
7	21	264	T
7	22	229	T
7	23	212	T
7	24	277	T
7	25	369	F
7	26	208	T
7	27	268	T
7	28	265	T
7	29	285	T
7	30	220	T
8	1	210	F
8	2	272	T
8	3	328	F
8	4	238	T
8	5	364	T
8	6	292	T
8	7	240	T
8	8	221	T
8	9	209	T
8	10	253	T
8	11	223	T
8	12	213	T
8	13	225	T
8	14	388	T
8	15	300	T
8	16	211	T
8	17	371	T
8	18	357	T
8	19	269	F
8	20	214	T
8	21	259	T
8	22	279	T
8	23	190	T
8	24	261	T
8	25	265	T
8	26	205	T
8	27	210	T
8	28	219	T
8	29	188	F
8	30	211	T
9	1	321	T
9	2	279	T
9	3	256	T
9	4	213	T
9	5	288	T
9	6	251	T
9	7	362	T
9	8	340	T
9	9	336	T
9	10	382	T
9	11	250	T
9	12	292	T
9	13	217	T
9	14	184	T
9	15	289	T
9	16	248	T
9	17	184	T
9	18	194	T
9	19	352	T
9	20	198	T
9	21	308	T
9	22	418	T
9	23	203	T
9	24	208	T
9	25	313	T
9	26	331	T
9	27	211	T
9	28	231	T
9	29	220	T
9	30	194	T
10	1	305	T
10	2	259	T
10	3	235	T
10	4	175	T
10	5	241	T
10	6	367	T
10	7	269	T
10	8	294	T
10	9	185	T
10	10	274	T
10	11	231	F
10	12	195	T
10	13	364	T
10	14	213	T
10	15	220	T
10	16	291	T
