NAME: 	Lisa_4day_lhand
Completed cycles:	40
Failed cycles:	1
1	1	328
1	2	253
1	3	259
1	4	259
1	5	236
1	6	282
1	7	307
1	8	202
1	9	278
1	10	226
1	11	271
1	12	260
1	13	223
1	14	294
1	15	256
1	16	202
1	17	307
1	18	220
1	19	252
1	20	248
1	21	199
1	22	271
1	23	175
1	24	194
1	25	229
1	26	225
1	27	262
1	28	206
1	29	248
1	30	213
2	1	245
2	2	224
2	3	206
2	4	268
2	5	279
2	6	271
2	7	214
2	8	313
2	9	188
2	10	218
2	11	202
2	12	274
2	13	186
2	14	223
2	15	329
2	16	253
2	17	218
2	18	255
2	19	178
2	20	221
2	21	325
2	22	227
2	23	208
2	24	220
2	25	203
2	26	227
2	27	169
2	28	254
2	29	326
2	30	191
3	1	252
3	2	282
3	3	209
3	4	213
3	5	325
3	6	231
3	7	190
3	8	216
3	9	247
3	10	342
3	11	173
3	12	266
3	13	185
3	14	278
3	15	402
3	16	143
3	17	198
3	18	213
3	19	272
3	20	256
3	21	177
3	22	178
3	23	229
3	24	326
3	25	226
3	26	296
3	27	189
3	28	356
3	29	242
3	30	258
4	1	250
4	2	222
4	3	187
4	4	183
4	5	154
4	6	185
4	7	188
4	8	278
4	9	236
4	10	332
4	11	272
4	12	413
4	13	241
4	14	323
4	15	243
4	16	303
4	17	209
4	18	209
4	19	230
4	20	330
4	21	219
4	22	416
4	23	223
4	24	281
4	25	216
4	26	516
4	27	254
4	28	256
4	29	164
4	30	218
5	1	249
5	2	223
5	3	339
5	4	324
5	5	230
5	6	235
5	7	314
5	8	207
5	9	233
5	10	277
5	11	285
5	12	298
5	13	255
5	14	185
5	15	253
5	16	405
5	17	310
5	18	218
5	19	293
5	20	209
5	21	223
5	22	224
5	23	265
5	24	319
5	25	257
5	26	443
5	27	196
5	28	240
5	29	287
5	30	267
6	1	405
6	2	210
6	3	217
6	4	277
6	5	338
6	6	209
6	7	183
6	8	278
6	9	228
6	10	195
6	11	210
6	12	292
6	13	330
6	14	267
6	15	294
6	16	223
6	17	192
6	18	301
6	19	250
6	20	279
6	21	328
6	22	195
6	23	286
6	24	280
6	25	197
6	26	400
6	27	184
6	28	326
6	29	216
6	30	251
7	1	160
7	2	203
7	3	307
7	4	302
7	5	273
7	6	230
7	7	194
7	8	268
7	9	287
7	10	276
7	11	196
7	12	190
7	13	216
7	14	226
7	15	204
7	16	195
7	17	201
7	18	260
7	19	253
7	20	290
7	21	167
7	22	190
7	23	194
7	24	265
7	25	252
7	26	249
7	27	294
7	28	260
7	29	310
7	30	294
8	1	192
8	2	231
8	3	216
8	4	241
8	5	174
8	6	309
8	7	278
8	8	265
8	9	218
8	10	218
8	11	147
8	12	214
8	13	441
8	14	184
8	15	151
8	16	460
8	17	240
8	18	231
8	19	188
8	20	208
8	21	339
8	22	228
8	23	253
8	24	286
8	25	194
8	26	288
8	27	511
8	28	289
8	29	183
8	30	257
9	1	214
9	2	320
9	3	225
9	4	274
9	5	195
9	6	296
9	7	244
9	8	212
9	9	247
9	10	271
9	11	282
9	12	214
9	13	192
9	14	260
9	15	241
9	16	170
9	17	202
9	18	195
9	19	218
9	20	242
9	21	198
9	22	213
9	23	521
9	24	214
9	25	333
9	26	417
9	27	183
9	28	213
9	29	215
9	30	531
10	1	252
10	2	508
10	3	280
10	4	255
10	5	190
10	6	199
10	7	268
10	8	136
10	9	244
10	10	205
10	11	225
10	12	302
10	13	267
10	14	219
10	15	228
10	16	248
10	17	226
10	18	268
10	19	232
10	20	218
10	21	254
10	22	253
10	23	182
10	24	249
10	25	226
10	26	224
10	27	219
10	28	424
10	29	290
10	30	290
11	1	285
11	2	361
11	3	394
11	4	347
11	5	265
11	6	200
11	7	233
11	8	233
11	9	277
11	10	216
11	11	265
11	12	235
11	13	238
11	14	247
11	15	286
11	16	417
11	17	380
