NAME: 	Lisa_4day_rhand
Completed cycles:	40
Failed cycles:	1
1	1	631
1	2	152
1	3	227
1	4	241
1	5	261
1	6	277
1	7	173
1	8	231
1	9	153
1	10	262
1	11	202
1	12	175
1	13	315
1	14	170
1	15	216
1	16	204
1	17	205
1	18	231
1	19	160
1	20	197
1	21	184
1	22	232
1	23	186
1	24	175
1	25	173
1	26	255
1	27	173
1	28	281
1	29	221
1	30	157
2	1	264
2	2	203
2	3	291
2	4	208
2	5	402
2	6	230
2	7	201
2	8	310
2	9	175
2	10	261
2	11	320
2	12	326
2	13	290
2	14	233
2	15	262
2	16	283
2	17	151
2	18	286
2	19	211
2	20	294
2	21	248
2	22	282
2	23	257
2	24	240
2	25	190
2	26	202
2	27	218
2	28	259
2	29	178
2	30	277
3	1	204
3	2	262
3	3	222
3	4	229
3	5	198
3	6	243
3	7	183
3	8	209
3	9	199
3	10	196
3	11	205
3	12	275
3	13	272
3	14	402
3	15	286
3	16	199
3	17	201
3	18	403
3	19	258
3	20	213
3	21	206
3	22	288
3	23	162
3	24	321
3	25	185
3	26	195
3	27	198
3	28	268
3	29	288
3	30	247
4	1	354
4	2	184
4	3	150
4	4	284
4	5	271
4	6	191
4	7	375
4	8	184
4	9	228
4	10	242
4	11	210
4	12	277
4	13	182
4	14	159
4	15	210
4	16	171
4	17	215
4	18	230
4	19	206
4	20	205
4	21	246
4	22	207
4	23	308
4	24	255
4	25	155
4	26	341
4	27	203
4	28	213
4	29	304
4	30	215
5	1	346
5	2	231
5	3	264
5	4	311
5	5	177
5	6	145
5	7	290
5	8	344
5	9	257
5	10	165
5	11	227
5	12	237
5	13	281
5	14	281
5	15	200
5	16	308
5	17	249
5	18	182
5	19	284
5	20	398
5	21	330
5	22	191
5	23	210
5	24	228
5	25	246
5	26	387
5	27	429
5	28	181
5	29	143
5	30	323
6	1	286
6	2	229
6	3	172
6	4	342
6	5	278
6	6	284
6	7	167
6	8	196
6	9	187
6	10	237
6	11	216
6	12	221
6	13	293
6	14	222
6	15	219
6	16	232
6	17	238
6	18	184
6	19	204
6	20	487
6	21	253
6	22	184
6	23	151
6	24	356
6	25	227
6	26	480
6	27	237
6	28	256
6	29	178
6	30	204
7	1	195
7	2	269
7	3	294
7	4	176
7	5	258
7	6	184
7	7	244
7	8	252
7	9	249
7	10	208
7	11	198
7	12	288
7	13	242
7	14	439
7	15	172
7	16	162
7	17	298
7	18	375
7	19	189
7	20	170
7	21	225
7	22	481
7	23	222
7	24	239
7	25	192
7	26	334
7	27	265
7	28	293
7	29	276
7	30	380
8	1	359
8	2	343
8	3	252
8	4	292
8	5	233
8	6	266
8	7	262
8	8	175
8	9	242
8	10	231
8	11	265
8	12	389
8	13	231
8	14	381
8	15	301
8	16	191
8	17	250
8	18	273
8	19	236
8	20	344
8	21	160
8	22	418
8	23	329
8	24	216
8	25	201
8	26	264
8	27	204
8	28	199
8	29	238
8	30	268
9	1	409
9	2	288
9	3	184
9	4	212
9	5	271
9	6	252
9	7	176
9	8	191
9	9	265
9	10	210
9	11	200
9	12	197
9	13	197
9	14	217
9	15	519
9	16	277
9	17	214
9	18	181
9	19	204
9	20	181
9	21	410
9	22	204
9	23	209
9	24	388
9	25	179
9	26	200
9	27	273
9	28	351
9	29	205
9	30	329
10	1	315
10	2	275
10	3	283
10	4	338
10	5	169
10	6	283
10	7	218
10	8	379
10	9	213
10	10	214
10	11	226
10	12	243
10	13	195
10	14	380
10	15	232
10	16	249
10	17	338
10	18	200
10	19	178
10	20	207
10	21	176
10	22	258
10	23	176
10	24	285
10	25	195
10	26	292
10	27	340
10	28	361
10	29	370
10	30	369
11	1	197
11	2	220
11	3	177
11	4	188
11	5	180
11	6	227
11	7	268
11	8	196
11	9	415
11	10	230
11	11	265
11	12	309
11	13	316
11	14	226
11	15	237
11	16	215
11	17	288
11	18	186
11	19	227
11	20	269
11	21	213
11	22	250
11	23	190
11	24	166
11	25	209
11	26	260
11	27	450
11	28	319
11	29	222
11	30	220
12	1	256
12	2	398
12	3	198
12	4	289
12	5	257
12	6	222
12	7	246
12	8	226
12	9	281
12	10	194
12	11	339
12	12	260
12	13	177
12	14	143
12	15	280
12	16	175
12	17	276
12	18	255
12	19	213
12	20	232
12	21	149
12	22	177
12	23	243
12	24	188
12	25	228
12	26	363
12	27	219
12	28	260
12	29	176
12	30	186
13	1	178
13	2	278
13	3	235
13	4	359
13	5	206
13	6	192
13	7	198
13	8	347
13	9	200
13	10	191
13	11	253
13	12	197
13	13	158
13	14	277
13	15	144
13	16	211
13	17	271
13	18	243
13	19	218
13	20	266
13	21	236
13	22	173
13	23	200
13	24	269
13	25	360
13	26	222
13	27	235
13	28	293
13	29	288
13	30	254
14	1	212
14	2	344
14	3	301
14	4	195
14	5	184
14	6	208
14	7	473
14	8	268
14	9	224
14	10	400
14	11	236
14	12	304
14	13	201
14	14	226
14	15	232
14	16	239
14	17	258
14	18	277
14	19	259
14	20	180
14	21	240
14	22	317
14	23	594
14	24	235
14	25	155
14	26	218
14	27	250
14	28	177
14	29	234
14	30	367
15	1	404
15	2	289
15	3	284
15	4	257
15	5	163
15	6	265
15	7	204
15	8	346
15	9	155
15	10	199
15	11	227
15	12	187
15	13	275
15	14	196
15	15	212
15	16	235
15	17	236
15	18	215
15	19	241
15	20	297
15	21	333
15	22	299
15	23	271
15	24	319
15	25	260
15	26	308
15	27	449
15	28	324
15	29	239
15	30	224
16	1	589
16	2	288
16	3	210
16	4	209
16	5	241
16	6	335
16	7	275
16	8	204
16	9	193
16	10	363
16	11	220
16	12	309
16	13	255
16	14	176
16	15	413
16	16	217
16	17	462
16	18	245
16	19	263
16	20	287
16	21	224
16	22	167
16	23	204
16	24	183
16	25	218
16	26	300
16	27	211
16	28	218
16	29	200
16	30	557
17	1	209
17	2	231
17	3	209
17	4	274
17	5	236
17	6	388
17	7	303
17	8	265
17	9	197
17	10	228
17	11	284
17	12	141
17	13	191
17	14	226
17	15	191
17	16	271
17	17	218
17	18	177
17	19	237
17	20	201
17	21	304
17	22	422
17	23	290
17	24	410
17	25	193
17	26	191
17	27	259
17	28	189
17	29	178
17	30	263
18	1	272
18	2	347
18	3	142
18	4	237
18	5	195
18	6	296
18	7	232
18	8	144
18	9	257
18	10	282
18	11	159
18	12	289
18	13	280
